geo,time,sh_dth_2024
cpv,2005,49
cpv,2006,50
cpv,2007,50
cpv,2008,50
cpv,2009,50
cpv,2010,50
cpv,2011,51
cpv,2012,51
cpv,2013,50
cpv,2014,49
cpv,2015,47
cpv,2016,45
cpv,2017,43
cpv,2018,40
cpv,2019,38
cpv,2020,35
cri,1990,214
cri,1991,218
cri,1992,223
cri,1993,228
cri,1994,236
cri,1995,246
cri,1996,258
cri,1997,271
cri,1998,283
cri,1999,292
cri,2000,298
cri,2001,300
cri,2002,303
cri,2003,307
cri,2004,312
cri,2005,320
cri,2006,334
cri,2007,357
cri,2008,380
cri,2009,388
cri,2010,373
cri,2011,351
cri,2012,338
cri,2013,338
cri,2014,351
cri,2015,374
cri,2016,399
cri,2017,412
cri,2018,408
cri,2019,390
cri,2020,361
cub,1990,1355
cub,1991,1348
cub,1992,1340
cub,1993,1320
cub,1994,1269
cub,1995,1182
cub,1996,1074
cub,1997,945
cub,1998,813
cub,1999,699
cub,2000,615
cub,2001,553
cub,2002,512
cub,2003,487
cub,2004,470
cub,2005,459
cub,2006,456
cub,2007,459
cub,2008,464
cub,2009,467
cub,2010,465
cub,2011,456
cub,2012,441
cub,2013,420
cub,2014,403
cub,2015,391
cub,2016,384
cub,2017,382
cub,2018,383
cub,2019,383
cub,2020,380
cyp,1990,49
cyp,1991,50
cyp,1992,52
cyp,1993,55
cyp,1994,58
cyp,1995,62
cyp,1996,63
cyp,1997,65
cyp,1998,67
cyp,1999,70
cyp,2000,73
cyp,2001,73
cyp,2002,72
cyp,2003,72
cyp,2004,71
cyp,2005,69
cyp,2006,64
cyp,2007,59
cyp,2008,55
cyp,2009,53
cyp,2010,51
cyp,2011,48
cyp,2012,46
cyp,2013,45
cyp,2014,44
cyp,2015,43
cyp,2016,40
cyp,2017,37
cyp,2018,34
cyp,2019,33
cyp,2020,32
cze,1990,549
cze,1991,575
cze,1992,603
cze,1993,628
cze,1994,643
cze,1995,647
cze,1996,646
cze,1997,643
cze,1998,639
cze,1999,630
cze,2000,613
cze,2001,588
cze,2002,549
cze,2003,504
cze,2004,463
cze,2005,430
cze,2006,409
cze,2007,396
cze,2008,389
cze,2009,382
cze,2010,373
cze,2011,360
cze,2012,346
cze,2013,331
cze,2014,314
cze,2015,297
cze,2016,280
cze,2017,261
cze,2018,241
cze,2019,224
cze,2020,211
deu,1990,4718
deu,1991,4520
deu,1992,4229
deu,1993,3888
deu,1994,3566
deu,1995,3302
deu,1996,3093
deu,1997,2943
deu,1998,2836
deu,1999,2746
deu,2000,2656
deu,2001,2568
deu,2002,2474
deu,2003,2373
deu,2004,2268
deu,2005,2165
deu,2006,2074
deu,2007,1999
deu,2008,1933
deu,2009,1866
deu,2010,1791
deu,2011,1715
deu,2012,1634
deu,2013,1555
deu,2014,1491
deu,2015,1445
deu,2016,1418
deu,2017,1401
deu,2018,1387
deu,2019,1368
deu,2020,1340
dji,1990,270
dji,1991,270
dji,1992,269
dji,1993,267
dji,1994,267
dji,1995,270
dji,1996,279
dji,1997,291
dji,1998,304
dji,1999,314
dji,2000,320
dji,2001,319
dji,2002,314
dji,2003,308
dji,2004,304
dji,2005,306
dji,2006,316
dji,2007,327
dji,2008,335
dji,2009,337
dji,2010,333
dji,2011,329
dji,2012,323
dji,2013,316
dji,2014,309
dji,2015,303
dji,2016,298
dji,2017,294
dji,2018,291
dji,2019,287
dji,2020,283
dma,1990,6
dma,1991,6
dma,1992,6
dma,1993,6
dma,1994,5
dma,1995,5
dma,1996,5
dma,1997,5
dma,1998,4
dma,1999,4
dma,2000,3
dma,2001,4
dma,2002,4
dma,2003,4
dma,2004,5
dma,2005,5
dma,2006,5
dma,2007,5
dma,2008,5
dma,2009,6
dma,2010,6
dma,2011,6
dma,2012,6
dma,2013,7
dma,2014,7
dma,2015,7
dma,2016,7
dma,2017,7
dma,2018,7
dma,2019,6
dma,2020,6
dnk,1990,244
dnk,1991,237
dnk,1992,231
dnk,1993,225
dnk,1994,219
dnk,1995,213
dnk,1996,206
dnk,1997,199
dnk,1998,193
dnk,1999,187
dnk,2000,180
dnk,2001,172
dnk,2002,163
dnk,2003,155
dnk,2004,149
dnk,2005,144
dnk,2006,141
dnk,2007,140
dnk,2008,138
dnk,2009,134
dnk,2010,130
dnk,2011,124
dnk,2012,119
dnk,2013,116
dnk,2014,114
dnk,2015,113
dnk,2016,111
dnk,2017,108
dnk,2018,105
dnk,2019,102
dnk,2020,99
dom,1990,966
dom,1991,1011
dom,1992,1059
dom,1993,1111
dom,1994,1163
dom,1995,1216
dom,1996,1269
dom,1997,1321
dom,1998,1371
dom,1999,1418
dom,2000,1460
dom,2001,1500
dom,2002,1536
dom,2003,1574
dom,2004,1608
dom,2005,1639
dom,2006,1665
dom,2007,1683
dom,2008,1694
dom,2009,1701
dom,2010,1703
dom,2011,1696
dom,2012,1691
dom,2013,1685
dom,2014,1676
dom,2015,1660
dom,2016,1645
dom,2017,1619
dom,2018,1588
dom,2019,1559
dom,2020,1530
dza,1990,2882
dza,1991,3011
dza,1992,3138
dza,1993,3264
dza,1994,3381
dza,1995,3479
dza,1996,3537
dza,1997,3560
dza,1998,3547
dza,1999,3504
dza,2000,3436
dza,2001,3358
dza,2002,3270
dza,2003,3177
dza,2004,3082
dza,2005,3001
dza,2006,2932
dza,2007,2875
dza,2008,2815
dza,2009,2748
dza,2010,2692
dza,2011,2649
dza,2012,2631
dza,2013,2615
dza,2014,2581
dza,2015,2513
dza,2016,2416
dza,2017,2287
dza,2018,2148
dza,2019,2018
dza,2020,1911
ecu,1990,1680
ecu,1991,1662
ecu,1992,1650
ecu,1993,1645
ecu,1994,1649
ecu,1995,1664
ecu,1996,1691
ecu,1997,1734
ecu,1998,1783
ecu,1999,1826
ecu,2000,1853
ecu,2001,1862
ecu,2002,1864
ecu,2003,1870
ecu,2004,1887
ecu,2005,1921
ecu,2006,1964
ecu,2007,2001
ecu,2008,2022
ecu,2009,2017
ecu,2010,1982
ecu,2011,1919
ecu,2012,1833
ecu,2013,1745
ecu,2014,1672
ecu,2015,1628
ecu,2016,1614
ecu,2017,1627
ecu,2018,1656
ecu,2019,1689
ecu,2020,1715
egy,1990,6254
egy,1991,5868
egy,1992,5582
egy,1993,5425
egy,1994,5411
egy,1995,5488
egy,1996,5634
