geo,time,nv_fsm_totl_cn
plw,2000,1338100
plw,2001,1525600
plw,2002,1423700
plw,2003,1648700
plw,2004,1616600
plw,2005,1633000
plw,2006,1576000
plw,2007,2084100
plw,2008,2109700
plw,2009,2070500
plw,2010,1852400
plw,2011,2435200
plw,2012,2040700
plw,2013,1800900
plw,2014,1735700
plw,2015,1454000
plw,2016,1600000
plw,2017,2800000
plw,2018,5100000
plw,2019,5800000
plw,2020,3500000
qat,2011,15328300000
qat,2012,17214064200
qat,2013,18973446600
qat,2014,22772924900
qat,2015,23403901000
qat,2016,24153226000
qat,2017,25473824000
qat,2018,26557527000
qat,2019,28426398000
qat,2020,31556391797.7765
rwa,2017,0
sau,1970,66474429.34565
sau,1971,70544292.36681
sau,1972,70544292.36681
sau,1973,78684018.40914
sau,1974,253688128.31911
sau,1975,602339727.13201
sau,1976,1040528312.41049
sau,1977,1777173519.24086
sau,1978,2805492242.58785
sau,1979,4059010053.10583
sau,1980,4879765762.37355
sau,1981,5372219187.93419
sau,1982,5920294074.78404
sau,1983,6140066677.9268
sau,1984,6335420102.94259
sau,1985,6241800361.63138
sau,1986,7280002368.9759
sau,1987,8006561069.02607
sau,1988,8211455511.73558
sau,1989,8467326139.05112
