geo,time,en_atm_co2e_pc
lka,2000,0.58208
lka,2001,0.57372
lka,2002,0.59698
lka,2003,0.64555
lka,2004,0.66384
lka,2005,0.71527
lka,2006,0.63008
lka,2007,0.68491
lka,2008,0.64101
lka,2009,0.61073
lka,2010,0.64506
lka,2011,0.75594
lka,2012,0.82399
lka,2013,0.70342
lka,2014,0.84705
lka,2015,0.97091
lka,2016,1.03429
lka,2017,1.08702
lka,2018,0.99815
lso,1990,0.81584
lso,1991,0.83212
lso,1992,0.84162
lso,1993,0.84512
lso,1994,0.84886
lso,1995,0.84799
lso,1996,0.84785
lso,1997,0.84855
lso,1998,0.85606
lso,1999,0.8516
lso,2000,0.86088
lso,2001,0.86946
lso,2002,0.88677
