geo,time,sh_xpd_ghed_ch_zs
cyp,2002,44.37968
cyp,2003,43.95332
cyp,2004,41.28711
cyp,2005,41.47131
cyp,2006,42.83105
cyp,2007,43.16282
cyp,2008,41.61204
cyp,2009,42.52926
cyp,2010,45.74548
cyp,2011,47.40315
cyp,2012,45.91552
cyp,2013,45.5561
cyp,2014,42.51803
cyp,2015,42.2512
cyp,2016,42.2029
cyp,2017,41.82044
cyp,2018,42.67412
cyp,2019,56.0063
cze,2000,88.70406
cze,2001,87.44812
cze,2002,88.07416
cze,2003,87.48167
cze,2004,87.60249
cze,2005,85.22626
cze,2006,85.50295
cze,2007,83.79243
cze,2008,80.995
cze,2009,82.88338
cze,2010,83.12777
cze,2011,83.69435
cze,2012,83.5444
cze,2013,83.406
cze,2014,82.57014
cze,2015,82.23296
cze,2016,81.87832
cze,2017,81.76665
cze,2018,82.70378
cze,2019,81.49842
deu,2000,78.20437
deu,2001,78.17619
deu,2002,77.82389
deu,2003,77.4121
deu,2004,75.89608
deu,2005,75.67681
deu,2006,75.2426
deu,2007,75.17066
deu,2008,75.28674
deu,2009,75.65793
deu,2010,75.69684
deu,2011,75.41171
deu,2012,75.44361
deu,2013,76.42946
deu,2014,77.02643
deu,2015,76.96601
deu,2016,77.27536
deu,2017,77.72101
deu,2018,77.5675
deu,2019,77.72578
dji,2000,48.00642
dji,2001,44.59396
dji,2002,35.86056
dji,2003,37.82313
dji,2004,43.28553
dji,2005,43.3422
dji,2006,49.54573
dji,2007,50.82165
dji,2008,57.3996
dji,2009,59.26671
dji,2010,60.67916
dji,2011,63.49311
dji,2012,57.27902
dji,2013,61.89268
dji,2014,59.48297
dji,2015,55.04614
dji,2016,48.48154
dji,2017,46.43397
dji,2018,49.4074
dji,2019,53.66573
dma,2000,63.11795
dma,2001,55.34972
dma,2002,52.36088
dma,2003,55.75879
dma,2004,54.22798
dma,2005,56.13931
dma,2006,56.37024
dma,2007,52.60812
dma,2008,51.78384
dma,2009,53.63094
dma,2010,57.38661
dma,2011,59.06955
dma,2012,60.06043
dma,2013,61.36355
dma,2014,61.03231
