geo,time,ic_reg_cost_pc_fe_zs
isr,2010,4.3
isr,2011,4.4
isr,2012,4
isr,2013,4.1
isr,2014,3.5
isr,2015,3.4
isr,2016,3.3
isr,2017,3.2
isr,2018,2.8
isr,2019,2.7
ita,2003,22.1
ita,2004,21.4
ita,2005,20.7
ita,2006,20
ita,2007,18.7
ita,2008,18.5
ita,2009,18
ita,2010,18.7
ita,2011,18.4
ita,2012,16.7
ita,2013,14.7
ita,2014,14.8
ita,2015,14.4
ita,2016,14.3
ita,2017,14.1
ita,2018,14.1
ita,2019,13.8
jam,2003,16.3
jam,2004,15.4
jam,2005,11.8
jam,2006,9.4
jam,2007,8.7
jam,2008,7.9
jam,2009,5.3
jam,2010,5.2
jam,2011,7.2
jam,2012,6.7
jam,2013,6.4
jam,2014,4.9
jam,2015,5
jam,2016,4.3
jam,2017,4.8
jam,2018,4.4
jam,2019,4.2
jor,2003,104.1
jor,2004,102.1
jor,2005,85.5
jor,2006,73
jor,2007,23.8
jor,2008,32.9
jor,2009,28.2
jor,2010,25.4
jor,2011,21.7
jor,2012,21.5
jor,2013,20.5
jor,2014,19.7
jor,2015,19
jor,2016,20.6
jor,2017,24.2
jor,2018,23.9
jor,2019,23.3
jpn,2013,7.5
jpn,2014,7.5
jpn,2015,7.5
jpn,2016,7.5
jpn,2017,7.5
jpn,2018,7.5
jpn,2019,7.5
kaz,2003,12.9
kaz,2004,12.1
kaz,2005,9.9
kaz,2006,7
kaz,2007,7.6
kaz,2008,5.2
kaz,2009,4.8
kaz,2010,1
kaz,2011,0.8
kaz,2012,0.7
kaz,2013,0.6
kaz,2014,0.5
kaz,2015,0.5
kaz,2016,0.3
kaz,2017,0.3
kaz,2018,0.3
kaz,2019,0.2
ken,2003,54.6
ken,2004,53.7
ken,2005,61.6
ken,2006,58.8
ken,2007,58.1
ken,2008,49.2
ken,2009,52.8
ken,2010,55.2
ken,2011,53.5
ken,2012,47.5
ken,2013,44.5
ken,2014,54.1
ken,2015,43.6
ken,2016,28.2
ken,2017,26.3
ken,2018,24.9
ken,2019,22.4
kgz,2003,12.5
kgz,2004,11.5
kgz,2005,10.4
kgz,2006,10.7
kgz,2007,9.7
