geo,time,ny_adj_svnx_cd
kir,1984,19793210.77226
kir,1985,9154657.79455
kir,1986,9095537.23813
kir,1987,15198763.43385
kir,1988,20543556.8234
kir,1989,17851133.28675
kir,1990,20781866.3211
kir,1991,48729065.28299
kir,1992,46825292.71159
kir,2008,11892091.38044
kir,2009,3692570.67509
kir,2010,23250178.53995
kir,2011,17294899.77636
kir,2012,51922866.68937
kir,2013,54197726.61096
kir,2014,116696037.90525
kir,2015,136939434.12336
kir,2016,87142459.00157
kir,2017,134119427.32321
kir,2018,131684420.25114
kor,1976,5675637091.13409
kor,1977,8302887213.36251
kor,1978,13098724860.5253
kor,1979,15986255268.9475
kor,1980,11239846481.7428
kor,1981,11624499507.8258
kor,1982,15544062894.2017
kor,1983,18896944889.6707
kor,1984,23135909057.9865
kor,1985,23396418206.3925
kor,1986,30551843434.0032
kor,1987,43837697935.2135
kor,1988,62066130180.738
kor,1989,70792037932.1935
kor,1990,81280733893.3425
kor,1991,96570468831.40871
kor,1992,98098444254.00751
kor,1993,107568045439.218
kor,1994,127641061900.703
kor,1995,145333667242.311
kor,1996,142893410799.41599
kor,1997,126845847003.493
kor,1998,78454201121.3421
kor,1999,95894165616.7789
kor,2000,104432350423.18201
