geo,time,nv_srv_totl_kd
ita,2020,1166994867316.37012
jam,1993,7066355891.09414
jam,1994,7235357160.31037
jam,1995,7454653108.14253
jam,1996,7500828826.00974
jam,1997,7450998691.83915
jam,1998,7410443961.7606
jam,1999,7502671518.97627
jam,2000,7676178869.31234
jam,2001,7797084303.62059
jam,2002,7967494690.98769
jam,2003,8208035804.78693
jam,2004,8335135165.0331
jam,2005,8436916853.00802
jam,2006,8687430187.56731
jam,2007,8879829012.01404
jam,2008,8901956812.42727
jam,2009,8806663261.87233
jam,2010,8651288629.71953
jam,2011,8652976474.53761
jam,2012,8636485146.7279
jam,2013,8652635808.61103
jam,2014,8713460161.32143
jam,2015,8774965845.88501
jam,2016,8833777172.66558
jam,2017,8926407335.06722
jam,2018,9010242122.63701
jam,2019,9160289978.48319
jam,2020,8138447046.87436
jor,1976,3594481996.4047
jor,1977,3792927079.61968
jor,1978,4304629527.0253
jor,1979,5167649576.5246
jor,1980,5805565756.08554
jor,1981,6901501165.39847
jor,1982,7220076990.78079
jor,1983,6994740438.16531
jor,1984,7324485032.05019
jor,1985,7392361893.00915
jor,1986,8010333843.10125
jor,1987,8117999441.85056
jor,1988,8419955076.00885
jor,1989,7272031708.54713
jor,1990,7122715910.59039
jor,1991,7286624200.2642
jor,1992,7536425696.65287
jor,1993,7979054578.96732
jor,1994,8297264756.96877
jor,1995,9073494181.37774
jor,1996,9476234676.94065
jor,1997,9826488550.56222
jor,1998,10202437350.512
jor,1999,10573931901.57
jor,2000,11144735704.8634
jor,2001,11704869448.4923
jor,2002,12202045809.7957
jor,2003,12764639286.0299
jor,2004,13634008230.6171
jor,2005,15008797241.6953
jor,2006,15980048006.0954
jor,2007,17144026437.5318
jor,2008,18373854099.0863
jor,2009,19055702503.144
jor,2010,19700240807.7349
jor,2011,20315748035.1534
