geo,time,fi_res_xgld_cd
tcd,1993,38935584.83915
tcd,1994,76014342.72843
tcd,1995,142515641.94741
tcd,1996,164479417.06933
tcd,1997,135822560.88166
tcd,1998,120087610.8135
tcd,1999,95018454.25128
tcd,2000,110699274.47743
tcd,2001,122374629.77342
tcd,2002,218697142.16182
tcd,2003,187102879.11117
tcd,2004,221730347.30068
tcd,2005,225575218.16401
tcd,2006,625085078.71718
tcd,2007,955062334.47465
tcd,2008,1345469369.88943
tcd,2009,616701392.11005
tcd,2010,632405291.27749
tcd,2011,951097160.644
tcd,2012,1155659286.59738
tcd,2013,1183031943.77765
tcd,2014,1075906114.58729
tcd,2015,368916823.81667
tcd,2016,8184292.08845
tcd,2017,8575237.4152
tcd,2018,147750165.90978
tcd,2019,310032032.85024
tha,1960,267250000
tha,1961,350260000
tha,1962,419260000
tha,1963,472250000
tha,1964,556260000
tha,1965,643010000
tha,1966,831760000
tha,1967,916760000
tha,1968,928760000
tha,1969,892760000
tha,1970,823520000
tha,1971,787962434.2348
tha,1972,963357906.81001
tha,1973,1206829603.80581
tha,1974,1758170772.41438
tha,1975,1678810025.60676
tha,1976,1797533141.32813
tha,1977,1812729459.30437
tha,1978,2008628312.40343
tha,1979,1842833502.45529
tha,1980,1560175394.75063
tha,1981,1731816630.65486
tha,1982,1537555171.94638
tha,1983,1607066062.97028
tha,1984,1920572736.48102
tha,1985,2190073374.34095
tha,1986,2804364463.68941
tha,1987,4007079601.07251
tha,1988,6096568031.65077
tha,1989,9515327542.25037
tha,1990,13305058641.9314
tha,1991,17517184954.7269
tha,1992,20358625049.84389
tha,1993,24472852732.4865
tha,1994,29332156100.0463
tha,1995,35982010292.4213
tha,1996,37731192730.5617
tha,1997,26179463599.9093
tha,1998,28825064036.9466
tha,1999,34062847866.224
tha,2000,32015871090.0388
tha,2001,32354786129.7247
tha,2002,38046430773.6231
tha,2003,41076930759.8806
tha,2004,48664008741.8778
tha,2005,50690684293.7998
tha,2006,65291415167.6806
tha,2007,85221341803.25281
tha,2008,108660889971.92101
tha,2009,135482869047.989
tha,2010,167530335376.44601
tha,2011,167389121491.41901
tha,2012,173327664053.90302
tha,2013,161328173498.30801
tha,2014,151253340027.00601
tha,2015,151265956382.60599
tha,2016,166157164486.51901
tha,2017,196120620197.39896
tha,2018,199296461437.522
tha,2019,216816656654.64096
tha,2020,248743484788.60501
tha,2021,231737457648.57001
tjk,1997,36533792.66439
tjk,1998,53581256.1009
tjk,1999,55177844.50605
tjk,2000,92859180.92517
tjk,2001,92557545.70691
tjk,2002,89508809.93909
tjk,2003,111851625.05885
tjk,2004,157527254.7614
tjk,2005,168219798.25773
tjk,2006,175114985.16082
tjk,2007,40086648.52089
tjk,2008,103849505.01099
tjk,2009,174563185.79379
tjk,2010,324188008.86653
tjk,2011,289292135.23975
tjk,2012,297890451.23968
tjk,2013,460726487.52376
tjk,2014,177442155.16602
tjk,2015,64442293.0361
tjk,2016,107303103.31551
tjk,2017,641772480.75793
tjk,2018,366793958.38126
tjk,2019,519592242.3189
tkm,1993,799006867.79235
tkm,1994,929007299.23811
tkm,1995,1168007399.72173
tkm,1996,1169007159.57851
tkm,1997,1256006716.57096
tkm,1998,1376007009.14512
tkm,1999,1513006832.36548
tls,2002,43468355.21319
tls,2003,61303449.37021
tls,2004,182433882.00724
tls,2005,153299848.26564
tls,2006,83755117.64188
tls,2007,230271660.43816
tls,2008,210423736.87958
tls,2009,249928530.79289
tls,2010,406188383.99468
tls,2011,461610880.98676
tls,2012,883551410.78244
tls,2013,686998202.84284
tls,2014,311471064.61391
tls,2015,437752180.98006
tls,2016,280953720.72314
tls,2017,544434360.99524
tls,2018,673903564.68116
tls,2019,656221032.73923
tls,2020,656523631.70992
tls,2021,934780578.64168
ton,1977,9001000
ton,1978,10116000
ton,1979,12560000
ton,1980,13753000
ton,1981,13981000
ton,1982,15561000
ton,1983,20953000
ton,1984,26017000
ton,1985,27509829.52548
ton,1986,22481861.46074
ton,1987,28880742.24347
ton,1988,30509470.54945
ton,1989,24851181.09181
ton,1990,31338618.08766
ton,1991,32282037.86351
ton,1992,31769008.04378
ton,1993,37060900.30491
ton,1994,35538621.28779
ton,1995,28709990.15352
ton,1996,30615940.13505
ton,1997,27493103.752
ton,1998,28656375.85
ton,1999,24490343.6783
ton,2000,24642268.20723
ton,2001,23759782.49292
ton,2002,25120530.74703
ton,2003,39771012.59253
ton,2004,55262356.51093
ton,2005,46864163.22711
ton,2006,47972473.59774
ton,2007,65238721.71813
ton,2008,69753902.84578
ton,2009,95702573.85934
ton,2010,104527450.8676
ton,2011,143294510.36368
ton,2012,152403989.21798
ton,2013,155520937.73529
ton,2014,158784814.42029
ton,2015,156107668.81703
ton,2016,176497315.49588
ton,2017,198522418.42251
ton,2018,215149318.60304
ton,2019,218448401.77613
ton,2020,298947629.78832
tto,1960,23600000
tto,1961,26300000
tto,1962,23300000
tto,1963,24500000
tto,1964,29940000
tto,1965,28540000
tto,1966,29690000
tto,1967,30300000
tto,1968,49410000
tto,1969,44720000
tto,1970,43020000
tto,1971,69382899.96741
tto,1972,58258900.18464
tto,1973,47013305.9999
tto,1974,390326808.38365
tto,1975,750953201.78731
tto,1976,1013547507.33818
tto,1977,1481696972.99487
tto,1978,1804814508.01326
tto,1979,2140003704.45759
tto,1980,2780798010.51705
tto,1981,3347501964.93098
tto,1982,3080526826.67725
tto,1983,2104543501.2543
tto,1984,1356689388.47214
tto,1985,1128497803.16345
tto,1986,474143192.29875
tto,1987,187817409.80862
tto,1988,127113456.95792
tto,1989,246541448.73446
tto,1990,492023899.21896
tto,1991,338617037.86351
tto,1992,172243751.28907
tto,1993,206335148.2665
tto,1994,352425995.06863
tto,1995,358235037.0432
tto,1996,543859059.69239
tto,1997,706354686.21821
tto,1998,783140098.4209
tto,1999,945426887.51302
tto,2000,1386299570.82216
tto,2001,1907071561.96432
tto,2002,2027717051.95554
tto,2003,2451066519.15936
tto,2004,3168213554.02602
tto,2005,4960843331.04651
tto,2006,6568285101.14595
tto,2007,6694140170.07387
tto,2008,9425353247.77815
tto,2009,8756542041.77755
tto,2010,9094269298.69022
tto,2011,9885602173.5272
tto,2012,9268028077.1765
tto,2013,10102458463.7168
tto,2014,11418655024.2323
tto,2015,9861511400.35719
tto,2016,9393846995.77485
tto,2017,8289174890.25326
tto,2018,7495229883.81699
tto,2019,6834004192.70145
