geo,time,sp_pop_totl_fe_zs
mli,1973,50.01395
mli,1974,50.03332
mli,1975,50.05549
mli,1976,50.08223
mli,1977,50.11268
mli,1978,50.14397
mli,1979,50.17218
mli,1980,50.19507
mli,1981,50.21005
mli,1982,50.21931
mli,1983,50.23096
mli,1984,50.2552
mli,1985,50.29778
mli,1986,50.36181
mli,1987,50.44201
mli,1988,50.52528
mli,1989,50.59431
mli,1990,50.63699
mli,1991,50.64979
mli,1992,50.63807
mli,1993,50.61006
mli,1994,50.57702
mli,1995,50.54623
mli,1996,50.51912
mli,1997,50.4933
mli,1998,50.46755
mli,1999,50.43987
mli,2000,50.40921
mli,2001,50.37634
mli,2002,50.3426
mli,2003,50.30754
mli,2004,50.27063
mli,2005,50.232
mli,2006,50.19117
mli,2007,50.14942
mli,2008,50.10992
mli,2009,50.07641
mli,2010,50.05085
mli,2011,50.03367
mli,2012,50.02313
mli,2013,50.0158
mli,2014,50.00755
mli,2015,49.99576
mli,2016,49.97991
mli,2017,49.96119
mli,2018,49.941
mli,2019,49.92102
mli,2020,49.90244
