geo,time,se_sec_cuat_up_zs
tcd,2009,5.10442
tgo,1970,0.36716
tgo,2009,8.90192
tgo,2011,9.25691
tha,1980,5.31412
tha,2004,22.64363
tha,2006,22.56996
tha,2010,27.33811
tha,2013,29.29227
tha,2016,32.67467
tha,2018,33.30593
tha,2019,35.25885
tjk,2000,78.96372
tjk,2017,80.66976
tkm,1995,77.07228
ton,2011,54.12891
tto,1980,6.9
tto,1990,3.52938
tto,2008,57.02307
tto,2009,56.73412
tto,2011,67.48875
tun,1975,1.2
tun,1980,6.6
tun,1984,2.84173
tur,2004,21.02692
tur,2005,22.19003
tur,2006,23.20075
tur,2007,23.68692
tur,2008,26.49287
tur,2009,27.7025
tur,2010,29.98639
tur,2011,31.79867
tur,2012,32.76626
tur,2013,33.75851
tur,2014,35.23742
tur,2015,37.07356
tur,2016,37.6567
tur,2017,39.0267
tur,2019,42.17061
tza,2002,1.62288
tza,2012,3.39596
uga,1991,1.85458
uga,2002,6.45394
uga,2008,8.77393
uga,2010,10.66673
uga,2012,9.8698
ukr,2001,74.31923
ury,2003,34.4548
ury,2006,24.739
ury,2008,26.97722
ury,2009,27.75097
ury,2010,27.1736
ury,2011,27.01846
ury,2012,27.54371
ury,2013,27.5789
ury,2014,28.45315
ury,2015,28.74776
ury,2016,28.7478
ury,2017,30.01844
ury,2018,30.44119
ury,2019,31.51058
usa,1970,65.68093
usa,1980,77.13272
usa,2004,85.15315
usa,2005,85.19178
usa,2006,85.72323
usa,2008,86.61413
usa,2009,86.70908
usa,2010,87.14941
usa,2011,87.59089
usa,2012,87.6791
usa,2013,88.15031
usa,2014,88.31358
usa,2015,88.41197
usa,2016,89.09236
usa,2018,89.80536
usa,2020,90.94052
uzb,2013,91.54061
uzb,2014,91.94763
uzb,2015,92.07958
uzb,2016,92.56462
uzb,2018,96.14925
uzb,2019,96.67629
ven,2006,35.09054
ven,2007,39.78274
ven,2008,41.44366
ven,2009,42.98771
ven,2015,55.79327
ven,2016,61.9246
vgb,1991,20.21217
vnm,1979,28.56177
vnm,2009,25.67995
vnm,2019,31.93287
vut,1979,7.3
wsm,1971,6.33928
wsm,1976,8.5
wsm,1981,28.05839
wsm,2001,63.03763
wsm,2011,72.46522
zaf,1970,10.31528
zaf,1980,11.31126
zaf,1985,8.2443
zaf,2001,26.97645
zaf,2002,47.23959
zaf,2003,49.35774
zaf,2004,50.2828
zaf,2005,50.95873
zaf,2006,51.69332
zaf,2007,51.94975
zaf,2008,54.18271
zaf,2009,57.09445
zaf,2010,58.01028
zaf,2011,59.02537
zaf,2012,61.51736
zaf,2014,64.21572
zaf,2015,64.62436
zaf,2017,61.33836
zaf,2019,69.69739
zmb,1990,15.92285
zwe,2002,10.35751
zwe,2012,6.08306
zwe,2014,15.19199
zwe,2017,12.26489
