geo,time,bx_gsr_gnfs_cd
stp,1982,10780855.40446
stp,1983,10204274.83387
stp,1984,14196533.48538
stp,1985,9205372.17747
stp,1986,13553080.78133
stp,1987,8177274.72178
stp,1988,11055862.25534
stp,1989,9397440.08791
stp,1990,7880000
stp,1997,12400310
stp,1998,11303244.3
stp,1999,16375327.5
stp,2000,16267369.1
stp,2001,11063786.69228
stp,2002,14771457.52
stp,2003,15786702.53232
stp,2004,15069281.33788
stp,2005,15944198.94665
stp,2006,16114815.55933
stp,2007,13510604.16224
stp,2008,17509376.00651
stp,2009,19612830.8906
stp,2010,24314396.61001
stp,2011,29342883.79422
stp,2012,32936904.27499
stp,2013,49073366.20693
stp,2014,87098062.2279
stp,2015,89983828.04703
stp,2016,96563792.76541
stp,2017,92153927.42712
stp,2018,98232686.43491
stp,2019,72593875.01642
stp,2020,49337067.47429
sur,2005,1415600000
sur,2006,1411100000
sur,2007,1612400000
sur,2008,2027700000
sur,2009,1688500000
sur,2010,2325497840.32374
sur,2011,2847654989.6365
sur,2012,2871828916.18094
sur,2013,2588885192.72455
sur,2014,2351540508.56621
sur,2015,1843140760.32132
sur,2016,1606330375.51584
sur,2017,2143368510.5159
sur,2018,2235837595.90414
sur,2019,2286750029.46646
sur,2020,2446394181.71005
svk,1993,7391078418.36737
svk,1994,8967441921.41121
svk,1995,10969283078.5409
svk,1996,10889390376.561
svk,1997,11808106110.0935
svk,1998,13012191176.0099
svk,1999,12100584035.1643
svk,2000,14136991511.1228
svk,2001,15431502673.4253
svk,2002,13064820193.1741
svk,2003,18794047002.6188
svk,2004,39506225751.2148
svk,2005,45059596881.3766
svk,2006,57356353173.9947
svk,2007,72045616999.5175
svk,2008,80847057439.6248
svk,2009,60238833462.5357
svk,2010,68029391421.0357
svk,2011,83342243679.49518
svk,2012,85052450826.17542
svk,2013,92165186272.57608
svk,2014,92281298144.37059
svk,2015,79753327158.18961
svk,2016,83028321396.92461
svk,2017,90274774489.50349
svk,2018,100762540305.011
svk,2019,96858697752.52728
svk,2020,90526727374.49939
svn,1992,7032700000
svn,1993,6612600000
svn,1994,7997900000
svn,1995,9658600000
svn,1996,9831300000
svn,1997,9826200000
svn,1998,10508300000
svn,1999,9973300000
svn,2000,10650000000
svn,2001,11248000000
svn,2002,12738700000
svn,2003,15641400000
svn,2004,19466400000
svn,2005,22050600000
svn,2006,26132320100.2418
svn,2007,33023664037.4109
svn,2008,37002048416.2554
svn,2009,28950937396.489
svn,2010,30922902046.6003
svn,2011,36226668055.9273
svn,2012,33919347501.10929
svn,2013,35883485661.0985
svn,2014,37931589070.6026
svn,2015,33167990291.7121
svn,2016,34748992482.6089
svn,2017,40469913560.1911
svn,2018,45944531038.0125
svn,2019,45531108473.402
svn,2020,41797852686.3904
svn,2021,51496935872.6059
swe,1970,8103285960.97651
