geo,time,eg_elc_hyro_zs
cod,2012,99.65843
cod,2013,99.67304
cod,2014,99.77376
cod,2015,99.70924
cog,1971,61.36364
cog,1972,64.70588
cog,1973,52.08333
cog,1974,55.55556
cog,1975,55.2381
cog,1976,55.26316
cog,1977,46.15385
cog,1978,16.66667
cog,1979,59.23077
cog,1980,64.51613
cog,1981,65.18987
cog,1982,89.23077
cog,1983,99.1453
cog,1984,99.20949
cog,1985,98.97959
cog,1986,99.25926
cog,1987,98.93238
cog,1988,98.9726
cog,1989,99.25
cog,1990,99.39148
cog,1991,100
cog,1992,99.06542
cog,1993,99.17127
cog,1994,99.38272
cog,1995,99.43503
cog,1996,99.56332
cog,1997,99.5585
cog,1998,99.4186
cog,1999,85.58559
cog,2000,99.66216
cog,2001,100
cog,2002,100
cog,2003,85.71429
cog,2004,83.12343
cog,2005,81.98614
cog,2006,82.11921
cog,2007,82.30958
cog,2008,81.3449
cog,2009,61.22449
cog,2010,54.71939
cog,2011,61.17556
cog,2012,58.05882
cog,2013,56.81685
cog,2014,54.71264
cog,2015,53.34487
col,1971,65.06201
col,1972,69.32649
col,1973,68.28073
col,1974,68.42716
col,1975,68.83458
col,1976,67.102
col,1977,68.51281
col,1978,69.51564
col,1979,69.77111
col,1980,69.86697
col,1981,68.78279
col,1982,68.15436
col,1983,66.63174
col,1984,67.41124
col,1985,68.37514
col,1986,72.1033
col,1987,73.44509
col,1988,73.84285
col,1989,76.23391
col,1990,75.63055
col,1991,74.95539
col,1992,67.63295
col,1993,72.24513
col,1994,77.42037
col,1995,75.28795
col,1996,81.84816
col,1997,70.5616
col,1998,68.56137
col,1999,78.79361
col,2000,74.37449
col,2001,73.19645
col,2002,75.41406
col,2003,77.72502
col,2004,80.60701
col,2005,79.07305
col,2006,79.49781
col,2007,80.48131
col,2008,82.95434
col,2009,71.82978
col,2010,67.98768
col,2011,80.1213
col,2012,76.32904
col,2013,70.96663
col,2014,70.90613
col,2015,64.95936
cri,1971,89.54704
cri,1972,86.6614
cri,1973,83.96437
cri,1974,85.01362
cri,1975,84.58524
cri,1976,87.97814
cri,1977,75.96591
cri,1978,76.77922
cri,1979,81.27191
cri,1980,95.2381
cri,1981,96.61734
cri,1982,96.875
cri,1983,97.07317
cri,1984,97.94588
cri,1985,97.86932
cri,1986,98.03323
cri,1987,95.75487
cri,1988,95.39618
cri,1989,97.59531
cri,1990,97.52018
cri,1991,94.61698
cri,1992,72.96417
cri,1993,80.04886
cri,1994,80.2728
cri,1995,72.81295
cri,1996,79.38359
cri,1997,85.68883
cri,1998,79.19823
cri,1999,83.1337
cri,2000,82.1506
cri,2001,80.9192
cri,2002,79.33555
cri,2003,80.79968
cri,2004,81.10773
cri,2005,79.49153
cri,2006,75.89974
cri,2007,74.79558
cri,2008,77.96073
cri,2009,77.59398
cri,2010,75.78003
cri,2011,72.56916
cri,2012,71.09298
cri,2013,66.93698
cri,2014,65.74337
cri,2015,74.61154
cub,1971,2.19124
cub,1972,1.40444
cub,1973,1.08619
cub,1974,1.47865
cub,1975,0.95628
cub,1976,0.73662
cub,1977,0.94744
cub,1978,0.97831
cub,1979,1.10615
cub,1980,0.97107
cub,1981,0.56738
cub,1982,0.38837
cub,1983,0.54536
cub,1984,0.56952
cub,1985,0.44266
cub,1986,0.44778
cub,1987,0.3237
cub,1988,0.50199
cub,1989,0.53809
cub,1990,0.6057
cub,1991,0.79263
cub,1992,0.70203
cub,1993,0.74532
cub,1994,0.40953
cub,1995,0.59395
cub,1996,0.71774
cub,1997,0.91899
cub,1998,0.68561
cub,1999,0.71074
cub,2000,0.59207
cub,2001,0.49023
cub,2002,0.6752
cub,2003,0.80961
cub,2004,0.56288
cub,2005,0.44323
cub,2006,0.57077
cub,2007,0.68656
cub,2008,0.78059
cub,2009,0.85147
cub,2010,0.55757
cub,2011,0.55743
cub,2012,0.60234
cub,2013,0.66353
cub,2014,0.53702
cub,2015,0.23659
cyp,1971,0
cyp,1972,0
cyp,1973,0
cyp,1974,0
cyp,1975,0
cyp,1976,0
cyp,1977,0
cyp,1978,0
cyp,1979,0
cyp,1980,0
cyp,1981,0
cyp,1982,0
cyp,1983,0
cyp,1984,0
cyp,1985,0
cyp,1986,0
cyp,1987,0
cyp,1988,0
cyp,1989,0
cyp,1990,0
cyp,1991,0
cyp,1992,0
cyp,1993,0
cyp,1994,0
cyp,1995,0
cyp,1996,0
cyp,1997,0
cyp,1998,0
cyp,1999,0
cyp,2000,0
cyp,2001,0
cyp,2002,0
cyp,2003,0
cyp,2004,0
cyp,2005,0
cyp,2006,0
cyp,2007,0
cyp,2008,0
cyp,2009,0
cyp,2010,0
cyp,2011,0
cyp,2012,0
cyp,2013,0
cyp,2014,0
cyp,2015,0
cze,1971,3.32124
cze,1972,3.19361
cze,1973,2.62544
cze,1974,4.2165
cze,1975,3.95138
cze,1976,2.9982
cze,1977,3.84225
cze,1978,3.41004
cze,1979,4.47423
cze,1980,4.55599
cze,1981,3.8468
cze,1982,3.05598
cze,1983,2.9214
cze,1984,2.23701
cze,1985,2.87504
cze,1986,3.0954
cze,1987,3.96328
cze,1988,3.26266
cze,1989,2.52261
cze,1990,1.86443
cze,1991,1.80603
cze,1992,2.37398
cze,1993,2.33403
cze,1994,2.50047
cze,1995,3.30499
cze,1996,3.08509
cze,1997,2.64572
cze,1998,2.16019
cze,1999,2.62005
cze,2000,2.41116
cze,2001,2.76693
cze,2002,3.27916
cze,2003,1.66997
cze,2004,2.4096
cze,2005,2.90488
cze,2006,3.04827
cze,2007,2.38025
cze,2008,2.42992
cze,2009,2.97555
cze,2010,3.26918
cze,2011,2.26215
cze,2012,2.45596
cze,2013,3.17877
cze,2014,2.24335
cze,2015,2.1727
deu,1960,10.19235
deu,1961,9.43681
deu,1962,8.30911
deu,1963,7.49997
deu,1964,6.77199
deu,1965,8.31929
deu,1966,8.94597
deu,1967,8.34623
deu,1968,7.72728
deu,1969,5.83953
deu,1970,5.67638
deu,1971,4.11155
deu,1972,3.81605
deu,1973,4.06916
deu,1974,4.51656
deu,1975,4.44355
deu,1976,3.28601
deu,1977,4.1246
deu,1978,4.09801
deu,1979,3.9303
deu,1980,4.08908
deu,1981,4.2556
