geo,time,sl_fam_work_zs
che,2016,1.99
che,2017,2.05
che,2018,1.96
che,2019,1.79
chl,1991,3.26
chl,1992,3.13
chl,1993,3
chl,1994,2.87
chl,1995,2.74
chl,1996,2.58
chl,1997,2.37
chl,1998,2.38
chl,1999,2.33
chl,2000,2.33
chl,2001,2.01
chl,2002,2.1
chl,2003,2.02
chl,2004,2.2
chl,2005,2.03
chl,2006,1.91
chl,2007,1.63
chl,2008,1.64
chl,2009,1.56
chl,2010,1.47
chl,2011,1.36
chl,2012,1.29
chl,2013,1.37
chl,2014,1.34
chl,2015,1.2
chl,2016,1.23
chl,2017,1.12
chl,2018,1.11
chl,2019,1.02
chn,1991,31.24
chn,1992,30.22
chn,1993,29.21
chn,1994,28.26
chn,1995,27.43
chn,1996,26.68
chn,1997,25.98
chn,1998,25.39
chn,1999,24.78
chn,2000,24.04
chn,2001,23.28
chn,2002,22.45
chn,2003,21.54
chn,2004,20.64
chn,2005,19.65
chn,2006,18.62
chn,2007,17.54
chn,2008,16.71
chn,2009,15.94
chn,2010,15.1
chn,2011,14.35
chn,2012,13.76
chn,2013,13.2
chn,2014,12.68
chn,2015,12.2
chn,2016,11.75
chn,2017,11.31
chn,2018,10.83
chn,2019,10.29
civ,1991,34.24
civ,1992,34.05
civ,1993,33.99
civ,1994,34.32
civ,1995,33.71
civ,1996,32.87
civ,1997,30.88
civ,1998,31.13
civ,1999,30
civ,2000,29.91
civ,2001,31.73
civ,2002,31
civ,2003,30.22
civ,2004,28.55
civ,2005,27.84
civ,2006,26.55
civ,2007,25.69
civ,2008,24.3
civ,2009,22.87
civ,2010,23.31
civ,2011,21.87
civ,2012,20.14
civ,2013,15.75
civ,2014,14.54
civ,2015,14.6
civ,2016,14.07
civ,2017,12.84
civ,2018,11.61
civ,2019,10.35
cmr,1991,15.94
cmr,1992,15.84
cmr,1993,15.7
cmr,1994,15.62
cmr,1995,15.38
cmr,1996,15.33
cmr,1997,16.23
cmr,1998,17.93
cmr,1999,18.28
cmr,2000,17.77
cmr,2001,18.67
cmr,2002,20.12
cmr,2003,21.95
cmr,2004,22.91
cmr,2005,23.55
cmr,2006,23.75
cmr,2007,24.81
cmr,2008,22.94
