geo,time,eg_fec_rnew_zs
dji,1990,26.59283
dji,1991,27.20544
dji,1992,28.17451
dji,1993,29.05074
dji,1994,30.95445
dji,1995,31.17413
dji,1996,32.02656
dji,1997,31.5596
dji,1998,31.94989
dji,1999,32.68108
dji,2000,31.4432
dji,2001,31.6751
dji,2002,32.4447
dji,2003,32.8812
dji,2004,33.6212
dji,2005,33.0945
dji,2006,33.0068
dji,2007,32.5239
dji,2008,33.1434
dji,2009,34
dji,2010,32.5443
dji,2011,33.9338
dji,2012,32.4828
dji,2013,34.0399
dji,2014,30.8172
dji,2015,28.1802
dji,2016,24.9108
dji,2017,24.1291
dji,2018,27.8358
dma,1990,14.6031
dma,1991,14.5052
dma,1992,14.49363
dma,1993,13.63053
dma,1994,13.52709
dma,1995,15.64742
dma,1996,20.84831
dma,1997,15.51731
dma,1998,15.00514
dma,1999,14.07681
dma,2000,11.0343
dma,2001,9.3858
