geo,time,ne_con_prvt_kd_zg
cmr,2019,4.05255
cmr,2020,0.45856
cod,1994,4.37123
cod,1995,1.63178
cod,1996,-3.96222
cod,1997,-5.84357
cod,1998,6.00035
cod,1999,-5.59393
cod,2000,1.24106
cod,2001,-0.78774
cod,2002,-9.93236
cod,2003,23.60519
cod,2004,4.60218
cod,2005,7.00508
cod,2006,0.10918
cod,2007,7.33597
cod,2008,0.56644
cod,2009,2.23643
cod,2010,6.89838
cod,2011,-6.1611
cod,2012,16.15728
cod,2013,12.66579
cod,2014,7.77456
cod,2015,6.65127
cod,2016,2.40387
cod,2017,2.37551
cod,2018,-1.47573
cod,2019,17.34653
cod,2020,-8.0185
cog,1961,-1.01266
cog,1962,-8.43989
cog,1963,-8.93855
cog,1964,1.84048
cog,1965,0.30121
cog,1966,-8.23333
cog,1967,-4.41343
cog,1968,13.45727
cog,1969,12.24848
cog,1970,5.21601
cog,1971,-1.19662
