geo,time,en_atm_noxe_eg_kt_ce
guy,2008,30
guy,2009,30
guy,2010,30
guy,2011,30
guy,2012,30
guy,2013,30
guy,2014,30
guy,2015,30
guy,2016,30
guy,2017,30
guy,2018,30
hnd,1990,160
hnd,1991,170
hnd,1992,170
hnd,1993,180
hnd,1994,190
hnd,1995,190
hnd,1996,190
hnd,1997,190
hnd,1998,200
hnd,1999,200
hnd,2000,220
hnd,2001,230
hnd,2002,230
hnd,2003,240
hnd,2004,250
hnd,2005,250
hnd,2006,250
hnd,2007,250
hnd,2008,250
hnd,2009,250
hnd,2010,250
hnd,2011,250
hnd,2012,250
hnd,2013,250
hnd,2014,250
hnd,2015,250
hnd,2016,250
hnd,2017,250
hnd,2018,250
hrv,1990,230
hrv,1991,200
hrv,1992,180
hrv,1993,190
hrv,1994,190
hrv,1995,180
hrv,1996,230
hrv,1997,230
hrv,1998,210
hrv,1999,260
hrv,2000,270
hrv,2001,270
hrv,2002,230
hrv,2003,240
hrv,2004,280
hrv,2005,240
hrv,2006,240
hrv,2007,250
hrv,2008,240
hrv,2009,240
hrv,2010,240
hrv,2011,220
hrv,2012,210
hrv,2013,210
hrv,2014,200
hrv,2015,210
hrv,2016,210
hrv,2017,210
hrv,2018,210
hti,1990,60
hti,1991,60
hti,1992,70
hti,1993,80
hti,1994,80
hti,1995,100
hti,1996,100
hti,1997,110
hti,1998,110
hti,1999,100
hti,2000,100
hti,2001,110
hti,2002,110
hti,2003,110
hti,2004,120
hti,2005,120
hti,2006,130
hti,2007,130
hti,2008,140
hti,2009,150
hti,2010,150
hti,2011,160
hti,2012,160
hti,2013,160
hti,2014,170
hti,2015,170
hti,2016,170
hti,2017,170
hti,2018,170
hun,1990,320
hun,1991,300
hun,1992,270
hun,1993,280
hun,1994,300
hun,1995,310
hun,1996,320
hun,1997,320
hun,1998,340
hun,1999,290
hun,2000,280
hun,2001,290
hun,2002,260
hun,2003,290
hun,2004,290
hun,2005,270
hun,2006,270
hun,2007,280
hun,2008,280
hun,2009,300
hun,2010,310
hun,2011,310
hun,2012,300
hun,2013,310
hun,2014,310
hun,2015,330
hun,2016,330
hun,2017,330
hun,2018,330
idn,1990,3190
idn,1991,3170
idn,1992,3160
idn,1993,3140
idn,1994,3110
idn,1995,3270
idn,1996,3470
idn,1997,3680
idn,1998,3880
idn,1999,4080
idn,2000,4730
idn,2001,4840
idn,2002,4950
idn,2003,5060
idn,2004,5170
idn,2005,5280
idn,2006,5400
idn,2007,5510
idn,2008,5630
idn,2009,5740
idn,2010,5860
idn,2011,5980
idn,2012,6100
idn,2013,6420
idn,2014,6740
idn,2015,6980
idn,2016,7110
idn,2017,7240
idn,2018,7380
ind,1990,2630
ind,1991,2820
ind,1992,3010
ind,1993,3210
ind,1994,3400
ind,1995,4750
ind,1996,6110
ind,1997,7460
ind,1998,8810
ind,1999,10170
ind,2000,11520
ind,2001,11810
ind,2002,12100
ind,2003,12400
ind,2004,12690
ind,2005,12980
ind,2006,13270
ind,2007,13560
ind,2008,13850
ind,2009,14140
ind,2010,14440
ind,2011,14610
ind,2012,14780
ind,2013,14950
ind,2014,15120
ind,2015,15290
ind,2016,15620
ind,2017,15950
ind,2018,16280
irl,1990,260
irl,1991,260
irl,1992,270
irl,1993,290
irl,1994,330
irl,1995,380
irl,1996,450
irl,1997,520
irl,1998,590
irl,1999,370
irl,2000,390
irl,2001,410
irl,2002,420
irl,2003,420
irl,2004,410
irl,2005,420
irl,2006,420
irl,2007,410
irl,2008,410
irl,2009,380
irl,2010,370
irl,2011,350
irl,2012,340
irl,2013,330
irl,2014,330
irl,2015,330
irl,2016,360
irl,2017,360
irl,2018,360
irn,1990,2260
irn,1991,2350
irn,1992,2440
irn,1993,2530
irn,1994,2620
irn,1995,2610
irn,1996,2590
irn,1997,2570
irn,1998,2560
irn,1999,2540
irn,2000,2520
irn,2001,2660
irn,2002,2800
irn,2003,2940
irn,2004,3080
irn,2005,3220
irn,2006,3270
irn,2007,3320
irn,2008,3360
irn,2009,3410
irn,2010,3450
irn,2011,3520
irn,2012,3590
irn,2013,3650
irn,2014,3720
irn,2015,3790
irn,2016,3870
irn,2017,3940
irn,2018,4020
irq,1990,520
irq,1991,540
irq,1992,560
irq,1993,580
irq,1994,600
irq,1995,620
irq,1996,620
irq,1997,620
irq,1998,620
irq,1999,620
irq,2000,620
irq,2001,660
irq,2002,690
irq,2003,730
irq,2004,760
irq,2005,800
irq,2006,820
irq,2007,850
irq,2008,880
irq,2009,910
irq,2010,930
irq,2011,1000
irq,2012,1070
irq,2013,1140
irq,2014,1200
irq,2015,1270
irq,2016,1300
irq,2017,1330
irq,2018,1360
isl,1990,40
isl,1991,40
isl,1992,40
isl,1993,40
isl,1994,40
isl,1995,50
isl,1996,50
isl,1997,50
isl,1998,50
isl,1999,60
isl,2000,60
isl,2001,60
isl,2002,60
isl,2003,60
isl,2004,70
isl,2005,70
isl,2006,70
isl,2007,70
isl,2008,70
isl,2009,60
isl,2010,60
isl,2011,50
isl,2012,50
isl,2013,50
isl,2014,50
isl,2015,50
isl,2016,50
isl,2017,50
isl,2018,50
isr,1990,110
isr,1991,120
isr,1992,130
isr,1993,140
isr,1994,150
isr,1995,160
isr,1996,170
isr,1997,180
isr,1998,190
isr,1999,200
isr,2000,210
isr,2001,210
isr,2002,210
isr,2003,220
isr,2004,210
isr,2005,210
isr,2006,210
isr,2007,220
isr,2008,210
isr,2009,200
isr,2010,200
isr,2011,190
isr,2012,190
isr,2013,180
isr,2014,170
isr,2015,160
isr,2016,170
isr,2017,170
isr,2018,170
ita,1990,4650
ita,1991,4780
ita,1992,4760
ita,1993,4690
ita,1994,4630
ita,1995,4840
ita,1996,4850
ita,1997,4900
ita,1998,5010
ita,1999,5010
ita,2000,4980
ita,2001,5010
ita,2002,4810
ita,2003,5200
ita,2004,5100
ita,2005,5350
ita,2006,5410
ita,2007,5630
ita,2008,5630
ita,2009,5280
ita,2010,5250
ita,2011,4670
ita,2012,4810
ita,2013,4720
ita,2014,4510
ita,2015,4630
ita,2016,4520
ita,2017,4510
ita,2018,4500
jam,1990,40
jam,1991,40
jam,1992,40
jam,1993,40
jam,1994,40
jam,1995,40
jam,1996,40
jam,1997,40
jam,1998,40
jam,1999,40
jam,2000,40
jam,2001,40
jam,2002,40
jam,2003,50
jam,2004,50
jam,2005,50
jam,2006,50
jam,2007,50
jam,2008,40
jam,2009,40
jam,2010,40
jam,2011,40
jam,2012,40
jam,2013,40
jam,2014,40
jam,2015,40
jam,2016,40
jam,2017,40
jam,2018,40
jor,1990,60
jor,1991,70
jor,1992,70
jor,1993,70
jor,1994,80
jor,1995,80
jor,1996,70
jor,1997,70
jor,1998,70
jor,1999,70
jor,2000,70
jor,2001,70
jor,2002,80
jor,2003,90
jor,2004,90
jor,2005,100
jor,2006,100
jor,2007,100
jor,2008,100
jor,2009,90
jor,2010,90
jor,2011,110
jor,2012,120
jor,2013,130
jor,2014,140
jor,2015,150
jor,2016,160
jor,2017,160
jor,2018,160
jpn,1990,8030
jpn,1991,8330
jpn,1992,8580
jpn,1993,8700
jpn,1994,9120
jpn,1995,9840
jpn,1996,10150
jpn,1997,10430
jpn,1998,10280
jpn,1999,10480
jpn,2000,10490
jpn,2001,10440
jpn,2002,10000
jpn,2003,9750
jpn,2004,9510
jpn,2005,9570
jpn,2006,9220
jpn,2007,9050
jpn,2008,8710
jpn,2009,8340
jpn,2010,8120
jpn,2011,8120
jpn,2012,8100
jpn,2013,8150
jpn,2014,7940
jpn,2015,7990
jpn,2016,7770
jpn,2017,7650
jpn,2018,7540
kaz,1990,1090
kaz,1991,1040
kaz,1992,960
kaz,1993,830
kaz,1994,700
kaz,1995,660
kaz,1996,600
