geo,time,sl_tlf_cact_ma_zs
com,2019,55.193
com,2020,54.358
com,2021,54.534
cpv,1990,84.883
cpv,1991,84.289
cpv,1992,83.684
cpv,1993,83.066
cpv,1994,82.428
cpv,1995,81.763
cpv,1996,81.077
cpv,1997,80.35
cpv,1998,79.572
cpv,1999,78.74
cpv,2000,77.853
cpv,2001,76.946
cpv,2002,76.011
cpv,2003,75.06
cpv,2004,74.116
cpv,2005,73.193
cpv,2006,72.474
cpv,2007,71.796
cpv,2008,71.158
cpv,2009,70.555
cpv,2010,69.986
cpv,2011,69.331
cpv,2012,68.744
cpv,2013,68.21
cpv,2014,67.707
cpv,2015,67.209
cpv,2016,66.701
cpv,2017,66.211
cpv,2018,62.248
cpv,2019,64.664
cpv,2020,60.608
cpv,2021,61.705
cri,1990,81.936
cri,1991,79.81
cri,1992,78.89
cri,1993,79.768
cri,1994,79.616
cri,1995,80.764
cri,1996,78.179
cri,1997,79.474
cri,1998,80.295
cri,1999,79.818
cri,2000,79.491
cri,2001,79.976
cri,2002,79.38
cri,2003,79.6
cri,2004,78.888
cri,2005,79.727
cri,2006,79.14
cri,2007,79.724
cri,2008,78.233
cri,2009,76.807
cri,2010,74.63
cri,2011,73.706
cri,2012,75.885
cri,2013,74.828
cri,2014,75.645
cri,2015,74.151
cri,2016,71.955
cri,2017,72.6
cri,2018,74.159
cri,2019,74.335
cri,2020,71.114
cri,2021,71.142
cub,1990,68.787
cub,1991,68.864
cub,1992,68.947
cub,1993,69.069
cub,1994,69.023
cub,1995,68.981
cub,1996,68.823
cub,1997,68.784
cub,1998,68.805
cub,1999,68.728
cub,2000,68.607
cub,2001,68.547
cub,2002,68.451
cub,2003,68.292
cub,2004,68.128
cub,2005,67.926
cub,2006,67.748
cub,2007,67.692
cub,2008,67.725
cub,2009,69.102
cub,2010,68.423
cub,2011,69.831
cub,2012,69.846
cub,2013,69.87
cub,2014,69.951
cub,2015,69.975
cub,2016,70.137
cub,2017,70.272
cub,2018,70.398
cub,2019,70.558
cub,2020,67.769
cub,2021,68.454
cyp,1990,76.337
cyp,1991,76.784
cyp,1992,75.388
cyp,1993,74.967
cyp,1994,74.541
cyp,1995,74.106
cyp,1996,73.669
cyp,1997,73.224
cyp,1998,72.77
cyp,1999,72.307
cyp,2000,71.836
cyp,2001,71.97
cyp,2002,71.606
cyp,2003,72.803
cyp,2004,72.842
cyp,2005,73.33
cyp,2006,72.943
cyp,2007,73.228
cyp,2008,72.818
cyp,2009,71.116
cyp,2010,71.066
cyp,2011,70.391
cyp,2012,70.305
cyp,2013,69.896
cyp,2014,69.218
cyp,2015,67.116
cyp,2016,66.39
cyp,2017,66.665
cyp,2018,67.645
cyp,2019,68.689
cyp,2020,69.065
cyp,2021,68.766
cze,1990,71.131
cze,1991,71.303
cze,1992,71.306
cze,1993,71.298
cze,1994,71.434
cze,1995,71.463
cze,1996,71.437
cze,1997,70.561
cze,1998,70.257
cze,1999,70.002
cze,2000,69.286
cze,2001,68.829
cze,2002,68.838
