geo,time,se_ter_enrr_ma
slv,1994,21.29309
slv,1995,22.24713
slv,1996,21.58988
slv,1998,20.27457
slv,1999,20.45697
slv,2000,20.23509
slv,2001,19.53749
slv,2002,20.25721
slv,2003,21.06817
slv,2004,21.49192
slv,2005,21.63915
slv,2006,21.86615
slv,2007,22.8062
slv,2008,23.68262
slv,2009,24.22882
slv,2010,24.7521
slv,2011,26.003
slv,2012,26.92601
slv,2013,27.12939
slv,2014,26.54348
slv,2015,26.51857
slv,2016,26.30528
slv,2017,26.96768
slv,2018,27.54276
smr,2018,48.93617
smr,2019,54.3956
smr,2020,59.54198
som,1972,0.5235
som,1975,0.82993
som,1976,1.02428
som,1987,3.93056
srb,2001,34.23015
srb,2002,31.89776
srb,2003,34.46098
srb,2004,35.43617
srb,2005,38.56902
srb,2006,41.0247
srb,2007,42.04981
srb,2008,42.47476
srb,2009,43.61253
srb,2010,42.84228
srb,2011,44.68821
srb,2012,46.19599
srb,2013,48.61013
srb,2014,50.50505
srb,2015,50.16047
srb,2016,53.91465
srb,2017,56.72797
srb,2018,56.69626
srb,2019,56.96518
srb,2020,56.99279
ssd,2016,0.68968
ssd,2018,1.15057
stp,2009,4.11463
stp,2010,4.39314
stp,2011,3.42427
stp,2012,8.85494
stp,2014,10.38233
stp,2015,13.1233
stp,2016,16.88543
sur,1985,6.60637
sur,1986,5.92992
sur,1987,7.78301
sur,1988,8.38057
sur,1989,8.93503
sur,1990,9.58615
sur,2002,9.46101
svk,1993,16.12083
svk,1994,17.01106
svk,1995,18.55228
svk,1996,19.86649
svk,1997,21.31991
svk,1998,23.28701
svk,1999,24.56907
svk,2000,27.64616
svk,2001,28.71198
svk,2002,30.13294
svk,2003,31.18398
svk,2004,32.39737
svk,2005,35.35072
svk,2006,37.1376
svk,2007,40.44394
svk,2008,41.84039
svk,2009,43.4339
svk,2010,45.01948
svk,2011,44.48934
svk,2012,44.41948
svk,2013,42.93784
svk,2014,41.59666
svk,2015,40.08432
svk,2016,38.1063
svk,2017,37.10983
svk,2018,36.30809
svk,2019,37.21072
svn,1981,17.71739
svn,1982,16.57535
svn,1983,16.87649
svn,1984,18.30146
svn,1985,18.21771
svn,1986,18.84637
svn,1987,19.28246
svn,1988,19.05472
svn,1989,18.87299
svn,1990,20.59844
svn,1991,19.90061
svn,1992,24.43235
svn,1993,24.36591
svn,1994,25.8169
svn,1995,25.78221
svn,1996,28.2557
svn,1997,31.1024
svn,1998,39.48414
svn,1999,44.27882
svn,2000,46.58516
svn,2001,51.09319
svn,2002,54.43938
svn,2003,58.74783
svn,2004,61.02814
svn,2005,65.58111
svn,2006,67.50392
svn,2007,68.93425
svn,2008,69.52106
svn,2009,70.16313
svn,2010,72.27736
svn,2011,65.01441
svn,2012,70.82394
svn,2013,70.04187
svn,2014,67.48334
svn,2015,65.3849
svn,2016,64.28692
svn,2017,64.94869
svn,2018,63.47811
svn,2019,63.79293
swe,1971,24.49549
swe,1972,25.68221
swe,1973,25.11119
swe,1974,24.35791
swe,1975,24.32199
swe,1976,34.53414
swe,1977,35.63738
swe,1978,38.10438
swe,1979,38.61427
swe,1980,38.8541
swe,1985,29.15575
swe,1986,28.39466
swe,1987,28.04871
swe,1988,27.95333
swe,1989,27.89431
swe,1990,28.09604
swe,1991,28.85119
swe,1992,31.04932
swe,1993,33.40128
swe,1994,35.43568
swe,1995,37.52582
swe,1996,40.31477
swe,1997,43.0364
swe,1998,44.60013
swe,1999,52.86776
swe,2000,54.94695
swe,2001,56.37222
swe,2002,59.73346
swe,2003,64.36874
swe,2004,66.26701
swe,2005,64.76161
swe,2006,62.70261
swe,2007,58.57608
swe,2008,54.84199
swe,2009,55.0955
swe,2010,58.48075
swe,2011,58.25047
swe,2012,54.19137
swe,2013,49.74898
swe,2014,49.26504
swe,2015,49.58316
swe,2016,50.30687
swe,2017,52.72135
swe,2018,56.14541
swe,2019,59.83711
swz,1970,0.67766
swz,1972,1.0169
swz,1976,3.20037
swz,1977,3.51881
swz,1979,3.65652
swz,1980,4.66302
swz,1981,4.0336
swz,1990,5.10992
swz,1991,4.51778
swz,1992,4.43038
swz,1993,5.73515
