geo,time,dt_nfl_unfp_cd
sen,2002,2180000.06676
sen,2003,1669999.95708
sen,2004,2859999.8951
sen,2005,2740000.00954
sen,2006,3099999.90463
sen,2007,1639999.98569
sen,2008,2069999.93324
sen,2009,1409999.96662
sen,2010,2079999.92371
sen,2011,2630000.11444
sen,2012,2930982.11288
sen,2013,2311199.90349
sen,2014,2799105.88264
sen,2015,2109902.85873
sen,2016,2053060.2932
sen,2017,1819429.39758
sen,2018,1833289.98089
sen,2019,2512914.89601
sgp,1977,29999.99933
sgp,1980,50000.00075
sgp,1981,59999.99866
sgp,1982,29999.99933
sgp,1983,19999.99955
sgp,1984,19999.99955
sgp,1985,59999.99866
slb,1980,19999.99955
slb,1981,19999.99955
slb,1982,140000.0006
slb,1983,119999.99732
slb,1984,39999.99911
slb,1985,39999.99911
slb,1986,140000.0006
slb,1987,230000.00417
slb,1988,200000.00298
slb,1989,180000.00715
slb,1990,100000.00149
slb,1991,119999.99732
slb,1992,129999.99523
slb,1993,189999.99762
slb,1994,370000.00477
slb,1995,280000.00119
slb,1996,259999.99046
slb,1997,109999.9994
slb,1998,70000.0003
slb,1999,159999.99642
slb,2000,59999.99866
slb,2001,79999.99821
slb,2002,79999.99821
sle,1977,159999.99642
sle,1980,600000.02384
sle,1981,750000
sle,1982,419999.98689
sle,1983,379999.99523
sle,1984,419999.98689
sle,1985,529999.97139
sle,1986,490000.00954
sle,1987,579999.98331
sle,1988,610000.01431
sle,1989,90000.00358
sle,1990,230000.00417
sle,1991,349999.99404
sle,1992,479999.98927
sle,1993,340000.00358
sle,1994,289999.99166
sle,1995,469999.99881
sle,1996,479999.98927
sle,1997,270000.01073
sle,1998,629999.99523
sle,1999,200000.00298
sle,2000,219999.99881
sle,2001,500000
sle,2002,1059999.94278
sle,2003,1379999.99523
sle,2004,1789999.96185
sle,2005,1620000.00477
sle,2006,1600000.02384
sle,2007,2000000
sle,2008,3140000.1049
sle,2009,2819999.93324
sle,2010,2589999.91417
sle,2011,2250000
sle,2012,2434227.94342
sle,2013,2797739.9826
sle,2014,2574122.90573
sle,2015,2359202.62337
sle,2016,1829681.87332
sle,2017,1458772.42088
sle,2018,1462329.98371
sle,2019,2223368.16788
slv,1977,550000.01192
slv,1980,1379999.99523
slv,1981,620000.00477
slv,1982,920000.01669
slv,1983,959999.97854
slv,1984,670000.01669
slv,1985,529999.97139
slv,1986,239999.99464
slv,1987,610000.01431
slv,1988,379999.99523
slv,1989,319999.99285
slv,1990,479999.98927
slv,1991,529999.97139
slv,1992,660000.02623
slv,1993,670000.01669
slv,1994,1049999.95232
slv,1995,889999.98569
slv,1996,610000.01431
slv,1997,970000.02861
slv,1998,589999.97377
slv,1999,460000.00834
slv,2000,560000.00238
slv,2001,949999.98808
slv,2002,1049999.95232
slv,2003,860000.01431
slv,2004,579999.98331
slv,2005,660000.02623
slv,2006,699999.98808
slv,2007,839999.97377
slv,2008,1429999.94755
slv,2009,1360000.01431
slv,2010,1419999.95708
slv,2011,1110000.01431
slv,2012,1015293.00213
slv,2013,1097813.01022
slv,2014,1220372.0808
slv,2015,989242.25569
slv,2016,761044.62147
slv,2017,705591.02297
slv,2018,802999.9733
slv,2019,1324177.26517
som,1977,300000.01192
som,1980,569999.99285
som,1981,819999.99285
som,1982,980000.01907
som,1983,810000.00238
som,1984,639999.98569
som,1985,629999.99523
som,1986,1029999.97139
som,1987,620000.00477
som,1988,839999.97377
som,1989,889999.98569
