geo,time,ny_adj_dco2_cd
bhr,2006,477131188.18723
bhr,2007,689921983.89894
bhr,2008,797453817.82541
bhr,2009,778804203.53453
bhr,2010,835550426.52589
bhr,2011,859736965.977
bhr,2012,855741975.40482
bhr,2013,1014881807.15927
bhr,2014,1055558089.26788
bhr,2015,1143587259.70994
bhr,2016,1138354912.69096
bhr,2017,1212994281.93671
bhr,2018,1268243958.61318
bhr,2019,1320116852.69528
bhs,1970,6806964.95518
bhs,1971,19126210.71569
bhs,1972,19668554.82559
bhs,1973,25731489.14332
bhs,1974,26914774.73043
bhs,1975,33591232.45494
bhs,1976,28381360.16929
bhs,1977,46330811.36877
bhs,1978,34479640.29442
bhs,1979,40044900.72783
bhs,1980,51471288.64733
bhs,1981,20198898.76493
bhs,1982,17710025.11897
bhs,1983,16774345.72593
bhs,1984,16348888.59042
bhs,1985,14041726.11873
bhs,1986,13686942.57274
bhs,1987,14452684.75606
bhs,1988,16560926.36831
bhs,1989,22248134.10833
bhs,1990,22311351.82868
bhs,1991,23631838.48444
bhs,1992,24812494.96255
bhs,1993,24686137.8265
bhs,1994,25619477.09719
bhs,1995,26632946.60235
bhs,1996,27555750.17749
bhs,1997,25321817.55099
bhs,1998,32712935.65546
bhs,1999,34713588.50187
bhs,2000,36219749.89524
bhs,2001,36281989.51109
bhs,2002,38867436.95027
bhs,2003,41249651.70844
bhs,2004,43474792.17035
bhs,2005,42514953.31814
bhs,2006,43530591.84929
bhs,2007,46176993.86839
bhs,2008,63261919.02926
bhs,2009,44329595.99066
bhs,2010,68154783.56952
bhs,2011,53658427.64646
bhs,2012,59220897.95189
bhs,2013,92779037.36202
bhs,2014,79098987.04942
bhs,2015,70119620.16059
bhs,2016,64141946.37053
bhs,2017,69442308.83386
bhs,2018,75522811.50969
bhs,2019,80304245.07306
bih,1992,201693647.17079
bih,1993,176714239.96336
bih,1994,47308970.21021
bih,1995,52445571.0798
bih,1996,67821740.25557
bih,1997,138934426.0089
bih,1998,181500051.00629
bih,1999,184711838.62328
bih,2000,256213489.42013
bih,2001,259964954.76269
bih,2002,288154420.31477
bih,2003,304307452.59879
bih,2004,343770754.46203
bih,2005,376396230.5598
bih,2006,430779066.87815
bih,2007,454874858.20612
bih,2008,541124196.66724
bih,2009,571319566.84302
bih,2010,608112664.25751
bih,2011,712268013.08217
bih,2012,692573065.55723
bih,2013,707654552.55661
bih,2014,652835424.58784
bih,2015,646664320.59247
bih,2016,782994581.71951
bih,2017,837868231.06633
bih,2018,909559019.74554
bih,2019,967136777.08184
blr,1992,1171297163.19231
blr,1993,1076675615.41207
blr,1994,952861935.39042
blr,1995,929237524.29643
blr,1996,957854222.80095
blr,1997,986214961.26054
blr,1998,994824860.89269
blr,1999,996599120.55458
blr,2000,998630247.11162
blr,2001,1023578951.14802
blr,2002,1055997227.10311
blr,2003,1123437342.61153
blr,2004,1281617479.22245
blr,2005,1374706957.49149
blr,2006,1519262532.43893
blr,2007,1555410783.26076
blr,2008,1690488143.74939
blr,2009,1689686312.93164
blr,2010,1799872563.94349
blr,2011,1909190898.13375
blr,2012,1955656268.51897
blr,2013,2037465577.82879
blr,2014,2113337366.93964
blr,2015,2026202042.20402
blr,2016,2093240151.26662
blr,2017,2173229494.41765
blr,2018,2282166609.8541
blr,2019,2340424092.16525
blz,1970,319985.53208
blz,1971,406275.71782
