geo,time,sh_xpd_ghed_pc_cd
fsm,2003,48.29852
fsm,2004,52.33838
fsm,2005,62.65017
fsm,2006,62.7592
fsm,2007,60.48945
fsm,2008,74.83847
fsm,2009,59.42219
fsm,2010,66.0736
fsm,2011,91.24292
fsm,2012,80.53442
fsm,2013,82.80897
fsm,2014,99.15894
fsm,2015,93.28776
fsm,2016,104.84474
fsm,2017,103.83863
fsm,2018,109.4554
fsm,2019,117.63728
gab,2000,46.8547
gab,2001,50.43228
gab,2002,49.68065
gab,2003,70.80895
gab,2004,78.03373
gab,2005,71.7471
gab,2006,86.51061
gab,2007,104.32999
gab,2008,108.94757
gab,2009,119.81379
gab,2010,139.22317
gab,2011,171.39596
gab,2012,145.51996
gab,2013,176.53412
gab,2014,146.56383
gab,2015,115.60706
gab,2016,140.42563
gab,2017,127.24021
gab,2018,128.02357
gab,2019,129.68005
gbr,2000,1557.00444
gbr,2001,1607.79884
gbr,2002,1848.28849
gbr,2003,2196.72493
gbr,2004,2713.50844
gbr,2005,2887.81509
gbr,2006,3153.09287
gbr,2007,3577.37641
gbr,2008,3505.22592
gbr,2009,3178.78911
