geo,time,ic_tax_durs
lux,2008,59
lux,2009,59
lux,2010,59
lux,2011,59
lux,2012,59
lux,2013,55
lux,2014,55
lux,2015,55
lux,2016,55
lux,2017,55
lux,2018,55
lux,2019,55
lva,2005,280
lva,2006,280
lva,2007,239
lva,2008,239
lva,2009,239
lva,2010,253
lva,2011,250
lva,2012,224
lva,2013,224
lva,2014,193
lva,2015,193
lva,2016,168.5
lva,2017,168.5
lva,2018,168.5
lva,2019,168.5
mar,2005,358
mar,2006,358
mar,2007,358
mar,2008,358
mar,2009,358
mar,2010,358
mar,2011,238
mar,2012,238
mar,2013,232
mar,2014,232
mar,2015,211
mar,2016,211
mar,2017,155
mar,2018,155
mar,2019,155
mda,2005,234
mda,2006,232
mda,2007,234
mda,2008,234
mda,2009,228
mda,2010,228
mda,2011,228
mda,2012,220
mda,2013,181
mda,2014,185
mda,2015,186
mda,2016,181
mda,2017,181
mda,2018,181
mda,2019,183
mdg,2005,400
mdg,2006,304
mdg,2007,238
mdg,2008,238
mdg,2009,201
mdg,2010,201
mdg,2011,201
mdg,2012,201
mdg,2013,183
mdg,2014,183
mdg,2015,183
mdg,2016,183
mdg,2017,183
mdg,2018,183
mdg,2019,183
mdv,2005,0
mdv,2006,0
mdv,2007,0
mdv,2008,0
mdv,2009,0
mdv,2010,0
mdv,2011,0
mdv,2012,252
mdv,2013,413
mdv,2014,413
mdv,2015,394.5
mdv,2016,405.5
mdv,2017,390.5
mdv,2018,390.5
mdv,2019,390.5
mex,2013,288.5
mex,2014,288.5
mex,2015,240.5
mex,2016,240.5
mex,2017,240.5
mex,2018,240.5
mex,2019,240.5
mhl,2005,128
mhl,2006,128
mhl,2007,128
mhl,2008,128
mhl,2009,128
mhl,2010,128
mhl,2011,128
mhl,2012,128
mhl,2013,128
mhl,2014,120
mhl,2015,120
mhl,2016,56
mhl,2017,56
mhl,2018,56
mhl,2019,56
mkd,2005,192
mkd,2006,192
mkd,2007,192
mkd,2008,150
mkd,2009,150
mkd,2010,119
mkd,2011,119
mkd,2012,119
mkd,2013,119
mkd,2014,119
mkd,2015,119
mkd,2016,119
mkd,2017,119
mkd,2018,119
mkd,2019,119
mli,2005,270
mli,2006,270
mli,2007,270
mli,2008,270
mli,2009,270
mli,2010,270
mli,2011,270
mli,2012,270
mli,2013,270
mli,2014,270
mli,2015,270
mli,2016,270
mli,2017,270
mli,2018,270
mli,2019,276
mlt,2011,139
mlt,2012,139
mlt,2013,139
mlt,2014,139
mlt,2015,139
mlt,2016,139
mlt,2017,139
mlt,2018,139
mlt,2019,139
mmr,2012,240.5
mmr,2013,240.5
mmr,2014,240.5
mmr,2015,274
mmr,2016,282
mmr,2017,282
mmr,2018,282
mmr,2019,282
mne,2006,372
mne,2007,372
mne,2008,372
mne,2009,372
mne,2010,372
mne,2011,372
mne,2012,320
mne,2013,320
mne,2014,320
mne,2015,314
mne,2016,300
mne,2017,300
mne,2018,300
mne,2019,300
mng,2005,204
mng,2006,204
mng,2007,204
mng,2008,204
mng,2009,192
mng,2010,192
mng,2011,192
mng,2012,192
mng,2013,192
mng,2014,148
mng,2015,148
mng,2016,148
mng,2017,134
mng,2018,134
mng,2019,134
moz,2005,230
moz,2006,230
moz,2007,230
