geo,time,nv_srv_totl_kn
chl,1990,20471843176018.60156
chl,1991,22252193576700
chl,1992,24938150425900
chl,1993,26391834419700
chl,1994,27750776049200
chl,1995,30550815039300
chl,1996,27632217497757.5
chl,1997,29512097572716.89453
chl,1998,30523063307098.89453
chl,1999,30711779133920.69531
chl,2000,31736818526917.19922
chl,2001,32778661847370.60156
chl,2002,33745367531730.80078
chl,2003,35338920885385
chl,2004,37248334022372.79688
chl,2005,39289113038003.60156
chl,2006,41414990001746.89844
chl,2007,43897592280998.09375
chl,2008,45843830968462.60156
chl,2009,44979420953029.39844
chl,2010,48215140458766.60156
chl,2011,51788876245814.70312
chl,2012,54666969670419.89844
chl,2013,78515669440592.89062
chl,2014,80571217555847.70312
chl,2015,82841643533522.20312
chl,2016,84928256646756.1875
chl,2017,86232145776154.28125
chl,2018,89467683360833.40625
chl,2019,90960745064855.39062
chl,2020,85008747442454.70312
chn,1978,832295084547.55811
chn,1979,897598539074.11499
chn,1980,952009264432.21301
chn,1981,1043269418619.26001
chn,1982,1175273228105.1001
chn,1983,1347256796980.43994
chn,1984,1608401846955
chn,1985,1899742766009.86011
chn,1986,2133747206112.62964
chn,1987,2447017185451.1001
chn,1988,2769328589789.16016
chn,1989,2931004453955.68018
chn,1990,3009225199272.41016
chn,1991,3286200425800
chn,1992,3700272491600
chn,1993,4150594001500
chn,1994,4622449303800
chn,1995,5088521230700
chn,1996,5557458027800
chn,1997,6137170438600
chn,1998,6652825653000
chn,1999,7268155111800
chn,2000,7978715544100
chn,2001,8797282956400
