geo,time,nv_mnf_mtrn_zs_un
eth,1997,1.61448
eth,1998,1.1937
eth,1999,3.88068
eth,2000,7.01184
eth,2001,4.20701
eth,2002,2.09902
eth,2003,1.38935
eth,2004,2.10837
eth,2005,1.09853
eth,2006,2.41565
eth,2007,4.71766
eth,2008,1.90879
eth,2009,1.43606
eth,2010,2.82201
eth,2011,1.5182
eth,2012,2.89389
eth,2013,5.66606
eth,2014,5.45204
eth,2015,5.45204
fin,1963,13.94344
fin,1964,14.09263
fin,1965,13.92862
fin,1966,13.69637
fin,1967,13.83459
fin,1968,14.04359
fin,1969,13.56628
fin,1970,15.5203
fin,1971,15.89783
fin,1972,16.10229
fin,1973,15.29872
fin,1974,15.81471
fin,1975,19.26065
fin,1976,20.66277
fin,1977,18.2622
fin,1978,17.5013
fin,1979,16.12129
fin,1980,15.98131
fin,1981,17.11231
fin,1982,18.95913
fin,1983,17.26429
fin,1984,17.23351
fin,1985,18.6351
fin,1986,16.7386
fin,1987,18.15797
fin,1988,16.83307
fin,1989,15.70304
fin,1990,17.64204
fin,1991,19.88357
fin,1992,20.43905
fin,1993,20.92107
fin,1994,21.53774
fin,1995,23.659
fin,1996,26.22645
fin,1997,26.8174
fin,1998,29.59179
fin,1999,31.16356
fin,2000,33.10297
fin,2001,35.69979
fin,2002,33.56331
