geo,time,nv_ind_totl_kd
phl,1990,36179421861.7707
phl,1991,35276698579.2555
phl,1992,35103981212.5499
phl,1993,35704763275.2337
phl,1994,37752853987.676
phl,1995,40211172047.9461
phl,1996,42765093800.6328
phl,1997,45363208170.4024
phl,1998,44156340215.7857
phl,1999,43538553975.5832
phl,2000,46427582768.7286
phl,2001,47048761175.9072
phl,2002,48777739710.895
phl,2003,51199344488.2262
phl,2004,53455637789.8372
phl,2005,56155613059.552
phl,2006,58251380794.9071
phl,2007,61132166639.487
phl,2008,64477012253.9496
phl,2009,63563953773.1944
phl,2010,69808211225.4064
phl,2011,70926338785.179
phl,2012,76379169613.09929
phl,2013,81584792647.3968
phl,2014,87703946846.3611
phl,2015,93410762377.71408
phl,2016,101059922108.672
phl,2017,108153780653.004
phl,2018,116052234065.408
phl,2019,122399860411.755
phl,2020,106273109173.494
plw,2000,23922629.92168
plw,2001,30987956.79887
plw,2002,39111339.19095
plw,2003,29167584.84584
plw,2004,27804304.11808
plw,2005,29759326.50314
plw,2006,26585599.13143
plw,2007,24854994.13309
plw,2008,19712454.34511
plw,2009,14973953.68784
plw,2010,15751992.51823
plw,2011,16234994.94861
plw,2012,15326170.4083
plw,2013,13524243.71993
plw,2014,13938735.16729
plw,2015,19537400
plw,2016,19576662.06335
plw,2017,18147708.62807
plw,2018,17861917.94102
plw,2019,18862185.34571
plw,2020,22363121.26215
png,2006,3605476607.26734
png,2007,3778822660.00965
png,2008,3653037208.45602
png,2009,4205133411.37943
png,2010,4710165807.08568
png,2011,4312420986.48756
png,2012,4217869151.3871
png,2013,4300317646.31979
png,2014,5982977891.9091
png,2015,7560859861.7802
png,2016,8471777091.86627
png,2017,8868281548.66627
png,2018,8200356055.17473
png,2019,8817462201.6313
pol,1995,68909935004.6425
pol,1996,69889109961.5334
pol,1997,71587478445.41721
pol,1998,73578723968.69609
pol,1999,75211301233.5853
pol,2000,74376707786.1785
pol,2001,73658044833.5323
pol,2002,72393951452.4473
pol,2003,76261307865.76469
pol,2004,81965777954.63589
pol,2005,85621700490.7813
pol,2006,93572357076.53539
pol,2007,101863907680.064
pol,2008,106847857806.075
pol,2009,110162090462.92599
pol,2010,118641729672.37
pol,2011,129700490781.271
pol,2012,130766679931.02499
pol,2013,129792810717.60201
pol,2014,137114206128.134
pol,2015,143949595437.061
pol,2016,145835256665.34
