geo,time,fb_ast_nper_zs
fji,2015,1.44819
fji,2016,2.31502
fji,2017,2.42446
fji,2018,3.08926
fji,2019,3.83835
fji,2020,6.21223
fra,2008,2.81942
fra,2009,4.02193
fra,2010,3.75857
fra,2011,4.29145
fra,2012,4.29452
fra,2013,4.49543
fra,2014,4.1625
fra,2015,4.04525
fra,2016,3.70276
fra,2017,3.1236
fra,2018,2.74834
fra,2019,2.47314
fra,2020,2.70534
fsm,2013,0.20782
fsm,2014,0.66191
fsm,2015,0.17476
fsm,2016,1.07514
fsm,2017,0.34805
fsm,2018,0.31283
fsm,2019,0.32653
fsm,2020,0.12803
gab,2010,3.15901
gab,2011,2.77846
gab,2012,2.54981
gab,2013,2.7424
gab,2014,4.06703
gab,2015,5.2592
gab,2016,10.65187
gab,2017,10.8359
gab,2018,12.39272
gab,2019,12.81048
gab,2020,7.58815
gbr,2005,0.99347
gbr,2008,1.55697
gbr,2009,3.50866
gbr,2010,3.95483
gbr,2011,3.96187
gbr,2012,3.58628
gbr,2013,3.11174
gbr,2014,1.65439
gbr,2015,1.01451
gbr,2016,0.94016
gbr,2017,0.73466
gbr,2018,1.07263
gbr,2019,1.0795
gbr,2020,1.21566
geo,2003,2.34319
geo,2004,1.97157
geo,2005,1.19433
geo,2006,0.80588
geo,2007,0.83842
geo,2008,4.05808
geo,2009,6.25544
geo,2010,5.91968
geo,2011,4.526
geo,2012,3.68026
geo,2013,3.03172
geo,2014,3.02706
geo,2015,2.71145
geo,2016,3.44698
geo,2017,2.7788
geo,2018,2.67887
geo,2019,1.92841
geo,2020,2.26744
geo,2021,1.87663
gha,2008,7.67773
gha,2009,16.2
gha,2010,18.08186
gha,2011,14.14599
gha,2012,13.19667
gha,2013,11.99894
gha,2014,11.26917
gha,2015,14.67362
gha,2016,17.2944
gha,2017,21.59125
gha,2018,18.18715
gha,2019,13.94191
gha,2020,14.79388
gha,2021,15.07344
gin,2013,6.20234
gin,2014,6.06488
gin,2015,6.07175
gin,2016,9.44234
gin,2017,10.67559
gin,2018,11.55507
gin,2019,9.89903
gin,2020,9.37968
gin,2021,9.20739
gmb,2005,12.56851
gmb,2006,13.18723
gmb,2007,10.43609
gmb,2008,13.67535
gmb,2009,12.30919
gmb,2010,14.51595
gmb,2011,12.1459
gmb,2012,12.039
gmb,2013,19.07047
gmb,2014,7.22312
gmb,2015,6.48607
gmb,2016,9.32276
gmb,2017,7.33747
gmb,2018,3.15266
gmb,2019,4.54671
gnq,2010,4.72033
gnq,2011,4.41782
gnq,2012,5.76775
gnq,2013,20.13023
gnq,2014,19.73518
gnq,2015,16.79903
gnq,2016,24.64187
gnq,2017,27.20332
gnq,2018,36.6775
gnq,2019,48.81277
gnq,2020,51.05172
grc,2008,2.4702
grc,2009,3.77371
grc,2010,5.62296
grc,2011,9.19946
grc,2012,15.71822
grc,2013,27.81474
grc,2014,29.99454
grc,2015,35.70687
grc,2016,37.35613
grc,2017,45.57232
grc,2018,41.98787
grc,2019,36.44854
grc,2020,26.97804
grd,2015,9.95036
grd,2016,6.70087
grd,2017,3.90664
grd,2018,2.40281
grd,2019,2.2025
grd,2020,2.23633
gtm,2009,2.71062
gtm,2010,2.1104
gtm,2011,1.68351
gtm,2012,1.34454
gtm,2013,1.19313
gtm,2014,1.28775
gtm,2015,1.34732
gtm,2016,2.05475
gtm,2017,2.324
gtm,2018,2.17622
gtm,2019,2.20127
gtm,2020,1.83009
gtm,2021,1.72977
hkg,2008,1.23
hkg,2009,1.58
hkg,2010,0.83
hkg,2011,0.69
hkg,2012,0.6
hkg,2013,0.54
hkg,2014,0.51
hkg,2015,0.73
hkg,2016,0.85432
hkg,2017,0.66893
hkg,2018,0.54697
hkg,2019,0.56803
hkg,2020,0.90237
hnd,2006,3.95454
hnd,2007,3.05938
hnd,2008,4.3368
hnd,2009,4.7396
hnd,2010,3.66355
hnd,2011,2.93742
hnd,2012,3.2872
hnd,2013,3.39336
hnd,2014,3.2708
hnd,2015,3.05632
hnd,2016,2.9212
hnd,2017,2.36283
hnd,2018,2.14522
hnd,2019,2.26217
hnd,2020,3.06942
hnd,2021,2.68849
hrv,2006,5.1852
hrv,2007,4.75251
hrv,2008,4.87223
hrv,2009,7.65995
hrv,2010,11.09227
hrv,2011,12.27292
hrv,2012,13.75955
hrv,2013,15.43037
hrv,2014,16.7061
hrv,2015,16.33026
hrv,2016,13.60936
hrv,2017,11.20154
hrv,2018,9.70692
hrv,2019,6.98963
hrv,2020,7.1776
hun,2008,3.22977
hun,2009,8.23663
hun,2010,10.03716
hun,2011,13.67749
hun,2012,16.04283
hun,2013,16.82573
hun,2014,15.62153
hun,2015,11.66313
hun,2016,7.42356
hun,2017,4.16779
hun,2018,2.4653
hun,2019,1.50912
hun,2020,3.9532
hun,2021,3.77451
idn,2005,6.25247
idn,2006,5.15545
idn,2007,3.69086
idn,2008,2.87021
idn,2009,2.8922
idn,2010,2.31233
idn,2011,2.00668
idn,2012,1.67599
idn,2013,1.60618
idn,2014,1.97495
idn,2015,2.31686
idn,2016,2.7749
idn,2017,2.44405
idn,2018,2.2058
idn,2019,2.33936
idn,2020,2.64268
idn,2021,2.64057
ind,2005,4.40179
ind,2008,2.44971
ind,2011,2.6702
ind,2012,3.37395
ind,2013,4.02773
ind,2014,4.34585
ind,2015,5.88352
ind,2016,9.18566
ind,2017,9.97528
ind,2018,9.46096
ind,2019,9.23443
ind,2020,7.93883
irl,2005,0.48037
irl,2006,0.53472
irl,2007,0.62918
irl,2008,1.92252
irl,2009,9.79637
irl,2010,13.87223
irl,2011,16.12147
irl,2012,21.65587
irl,2013,22.71713
irl,2014,20.6488
irl,2015,16.35983
irl,2016,12.62698
irl,2017,11.45892
irl,2018,5.45685
irl,2019,3.36384
irl,2020,3.36143
irq,2015,9.01709
irq,2016,12.68881
irq,2017,14.84021
irq,2018,17.54757
irq,2019,16.18145
isl,2015,5.85226
isl,2016,4.1228
isl,2017,2.8641
isl,2018,2.5133
isl,2019,2.92802
isl,2020,2.90217
isl,2021,2.06157
isr,2012,3.5011
isr,2013,2.86091
isr,2014,2.15111
isr,2015,1.84481
isr,2016,1.60512
isr,2017,1.29067
isr,2018,1.22722
isr,2019,1.38802
isr,2020,1.47603
ita,2005,6.99617
ita,2006,6.56811
ita,2007,5.77761
ita,2008,6.28258
ita,2009,9.44634
ita,2010,10.02784
ita,2011,11.74235
ita,2012,13.74637
ita,2013,16.54271
ita,2014,18.03305
ita,2015,18.06437
ita,2016,17.11624
ita,2017,14.3833
ita,2018,8.38628
ita,2019,6.74918
ita,2020,4.35972
jor,2015,5.76769
jor,2016,5.45531
jor,2017,5.26519
jor,2018,5.38545
kaz,2008,7.08977
kaz,2009,18.92341
kaz,2010,20.93062
kaz,2011,20.66547
kaz,2012,19.38987
kaz,2013,19.47083
kaz,2014,12.39214
kaz,2015,7.95254
kaz,2016,6.71835
kaz,2017,9.30977
kaz,2018,7.38538
kaz,2019,8.14264
kaz,2020,6.8523
ken,2006,18.85746
ken,2007,9.11845
ken,2008,9.00446
ken,2009,7.9811
ken,2010,6.27921
ken,2011,4.42119
ken,2012,4.59096
ken,2013,5.04358
ken,2014,5.45512
ken,2015,5.98876
ken,2016,8.58597
ken,2017,9.94913
ken,2018,12.02673
ken,2019,12.01409
ken,2020,14.13866
ken,2021,13.13869
kgz,2010,14.77572
kgz,2011,9.39821
kgz,2012,6.55111
kgz,2013,5.09047
kgz,2014,4.1826
kgz,2015,6.74286
kgz,2016,8.51775
kgz,2017,7.36792
kgz,2018,7.29696
kgz,2019,7.73068
kgz,2020,10.09355
kgz,2021,10.81921
khm,2010,3.14188
khm,2011,2.29439
khm,2012,2.22469
khm,2013,2.30268
khm,2014,1.62134
khm,2015,1.59274
khm,2016,2.13063
khm,2017,2.07248
khm,2018,1.98962
khm,2019,1.55384
khm,2020,1.81863
khm,2021,1.74496
kna,2015,15.45403
kna,2016,14.66223
kna,2017,20.46354
kna,2018,24.68656
kna,2019,24.0339
kna,2020,23.52746
kor,2008,0.57191
kor,2009,0.5845
kor,2010,0.588
kor,2011,0.48416
kor,2012,0.59429
kor,2013,0.57068
kor,2014,0.48783
kor,2015,0.45686
kor,2016,0.46922
kor,2017,0.35236
kor,2018,0.25444
kor,2019,0.25115
kor,2020,0.24906
kos,2010,5.69841
kos,2011,5.60079
kos,2012,7.16123
kos,2013,8.1332
kos,2014,7.957
kos,2015,5.83243
kos,2016,4.6613
kos,2017,2.93417
kos,2018,2.56894
kos,2019,1.93257
kos,2020,2.47418
kos,2021,2.13152
kwt,2007,3.84788
kwt,2008,6.80465
kwt,2009,11.46145
kwt,2010,8.95259
kwt,2011,6.98425
kwt,2012,5.19117
kwt,2013,3.64035
kwt,2014,2.89041
kwt,2015,2.37172
kwt,2016,2.22496
kwt,2017,1.94939
kwt,2018,1.6235
kwt,2019,1.77657
kwt,2020,2.00747
lbn,2011,3.75693
lbn,2012,3.78698
lbn,2013,3.96553
lbn,2014,4.00804
lbn,2015,4.19528
lbn,2016,4.87908
lbn,2017,5.66619
lbn,2018,10.25478
lbn,2019,15.1938
lca,2015,18.19632
lca,2016,13.12462
lca,2017,12.50423
lca,2018,10.03019
lca,2019,8.23746
lca,2020,11.28567
lka,2011,3.81577
lka,2012,3.62758
lka,2013,5.57506
lka,2014,4.23421
lka,2015,3.24077
lka,2016,2.63381
lka,2017,2.49843
lka,2018,3.42042
lka,2019,4.69918
lka,2020,4.92827
lso,2009,3.01981
lso,2010,3.03447
lso,2011,2.09514
lso,2012,2.46477
lso,2013,3.78682
lso,2014,4.22926
lso,2015,4.03779
lso,2016,3.69441
lso,2017,4.4164
lso,2018,3.66046
lso,2019,3.29906
lso,2020,4.19908
lso,2021,4.06517
ltu,2013,11.58603
ltu,2014,8.18605
ltu,2015,4.94957
ltu,2016,3.66065
ltu,2017,3.1771
ltu,2018,2.27015
ltu,2019,1.04439
ltu,2020,0.96916
lux,2009,0.67061
lux,2010,0.24723
lux,2011,0.37942
lux,2012,0.14559
lux,2013,0.21316
lux,2016,0.90484
lux,2017,0.7912
lux,2018,0.89697
lux,2019,0.7389
lux,2020,1.02804
lux,2021,0.79116
lva,2008,3.04486
lva,2009,20.27108
lva,2010,22.28973
lva,2011,14.05479
lva,2012,8.72379
lva,2013,6.40704
lva,2014,4.59776
lva,2015,4.64468
lva,2016,6.25574
