geo,time,is_shp_gcnw_xq
gum,2012,8.22154
gum,2013,8.82854
gum,2014,9.00059
gum,2015,8.84672
gum,2016,9.24487
gum,2017,8.19707
gum,2018,8.20848
gum,2019,9.52563
gum,2020,9.36748
guy,2006,6.94612
guy,2007,7.78268
guy,2008,7.87823
guy,2009,8.17261
guy,2010,10.28903
guy,2011,8.03572
guy,2012,8.2003
guy,2013,9.07251
guy,2014,9.0869
guy,2015,8.93648
guy,2016,9.6502
guy,2017,10.1758
guy,2018,9.53115
guy,2019,8.78009
guy,2020,8.21488
hkg,2006,87.26402
hkg,2007,93.54458
hkg,2008,89.42913
hkg,2009,89.21045
hkg,2010,95.50876
hkg,2011,95.27633
hkg,2012,93.78273
hkg,2013,95.62995
hkg,2014,91.60021
hkg,2015,90.6888
hkg,2016,89.6269
hkg,2017,92.27927
hkg,2018,90.80547
hkg,2019,89.48659
hkg,2020,93.59129
hnd,2006,12.50089
hnd,2007,12.9534
hnd,2008,11.33643
hnd,2009,13.15616
hnd,2010,12.323
hnd,2011,12.84774
hnd,2012,13.44542
hnd,2013,14.08362
hnd,2014,14.02022
hnd,2015,12.99481
hnd,2016,14.22379
hnd,2017,13.89409
hnd,2018,12.52994
hnd,2019,11.81267
hnd,2020,11.98773
hrv,2006,11.09232
hrv,2007,12.1658
hrv,2008,15.34605
hrv,2009,17.21896
hrv,2010,18.86608
hrv,2011,17.69881
hrv,2012,18.68567
hrv,2013,20.57618
hrv,2014,20.68826
hrv,2015,27.56113
hrv,2016,30.69083
hrv,2017,30.64112
hrv,2018,29.48082
hrv,2019,33.74262
hrv,2020,33.57246
hti,2006,6.64306
hti,2007,3.82954
hti,2008,5.83875
hti,2009,6.34146
hti,2010,6.56272
hti,2011,6.98832
hti,2012,8.14769
hti,2013,8.72855
hti,2014,9.3294
hti,2015,10.5569
hti,2016,11.54904
hti,2017,9.0141
hti,2018,10.73273
hti,2019,10.97373
hti,2020,9.25951
idn,2006,33.47857
idn,2007,34.82407
idn,2008,36.30071
idn,2009,35.38088
idn,2010,36.54827
idn,2011,33.92342
idn,2012,33.75745
idn,2013,35.33356
idn,2014,35.09325
idn,2015,34.46865
