geo,time,sh_h2o_smdw_ru_zs
kir,2012,6.05716
kir,2013,6.13158
kir,2014,6.20601
kir,2015,6.28043
kir,2016,6.35485
kir,2017,6.42927
kir,2018,6.50369
kir,2019,6.57811
kir,2020,6.65253
lao,2000,0.21994
lao,2001,2.17471
lao,2002,4.36046
lao,2003,6.68986
lao,2004,7.04558
lao,2005,7.4013
lao,2006,7.75702
lao,2007,8.11273
lao,2008,8.46845
lao,2009,8.82417
lao,2010,9.17989
lao,2011,9.53561
lao,2012,9.89133
lao,2013,10.24705
lao,2014,10.60277
lao,2015,10.95848
lao,2016,11.3142
lao,2017,11.66992
lao,2018,12.02564
lao,2019,12.38136
lao,2020,12.38136
lso,2000,1.08289
lso,2001,1.4613
lso,2002,1.84121
lso,2003,2.22261
lso,2004,2.6055
lso,2005,2.98989
lso,2006,3.37577
lso,2007,3.76315
lso,2008,4.15202
lso,2009,4.54238
lso,2010,4.93424
lso,2011,5.32759
lso,2012,5.72244
lso,2013,6.11878
lso,2014,6.51661
lso,2015,6.91594
lso,2016,7.31676
lso,2017,7.71908
lso,2018,8.12289
lso,2019,8.52819
lso,2020,8.93499
lux,2000,100
lux,2001,100
lux,2002,100
lux,2003,100
lux,2004,100
lux,2005,100
lux,2006,100
lux,2007,100
lux,2008,100
lux,2009,100
lux,2010,100
lux,2011,100
lux,2012,99.58131
lux,2013,99.06867
lux,2014,98.55731
lux,2015,98.04724
lux,2016,97.53845
lux,2017,97.03095
lux,2018,96.52474
lux,2019,96.52474
lux,2020,96.52474
mar,2000,17.42037
mar,2001,18.62195
mar,2002,19.82352
mar,2003,21.0251
mar,2004,22.22667
mar,2005,23.42825
mar,2006,24.62982
mar,2007,25.8314
mar,2008,27.03297
mar,2009,28.23455
mar,2010,30.70976
mar,2011,33.28896
mar,2012,35.97213
mar,2013,38.75928
mar,2014,41.65041
mar,2015,44.64552
mar,2016,47.74461
mar,2017,50.94768
mar,2018,54.25473
mar,2019,57.66576
mar,2020,61.18077
mdg,2000,2.06806
mdg,2001,2.48492
mdg,2002,2.91926
mdg,2003,3.37109
mdg,2004,3.8404
mdg,2005,4.32718
mdg,2006,4.83145
mdg,2007,5.3532
mdg,2008,5.89244
mdg,2009,6.44915
mdg,2010,7.02334
mdg,2011,7.61502
mdg,2012,8.22418
mdg,2013,8.38303
mdg,2014,8.53854
mdg,2015,8.69405
mdg,2016,8.84955
mdg,2017,9.00506
mdg,2018,9.16057
mdg,2019,9.31607
mdg,2020,9.47158
mkd,2000,74.39429
mkd,2001,74.39429
mkd,2002,74.39429
mkd,2003,74.39429
mkd,2004,74.39429
mkd,2005,74.41213
mkd,2006,74.42997
mkd,2007,74.44781
mkd,2008,74.46565
mkd,2009,74.48349
mkd,2010,74.50133
mkd,2011,74.51917
mkd,2012,74.53701
mkd,2013,74.55485
mkd,2014,74.57269
mkd,2015,74.59053
mkd,2016,71.71755
mkd,2017,68.81499
mkd,2018,65.91103
mkd,2019,65.92679
mkd,2020,65.94254
mmr,2000,18.35551
mmr,2001,19.71697
mmr,2002,21.11552
mmr,2003,22.55117
mmr,2004,24.02392
mmr,2005,25.53377
mmr,2006,27.08072
mmr,2007,28.66476
mmr,2008,30.28591
mmr,2009,31.94416
mmr,2010,33.63951
mmr,2011,35.37196
mmr,2012,37.14151
mmr,2013,38.94816
mmr,2014,40.7919
mmr,2015,42.67275
mmr,2016,44.5907
mmr,2017,46.54575
mmr,2018,48.53789
mmr,2019,50.56714
mmr,2020,52.07699
mng,2000,1.12125
mng,2001,1.446
mng,2002,1.79058
mng,2003,2.15497
mng,2004,2.53918
mng,2005,2.94322
mng,2006,3.36707
mng,2007,3.81075
mng,2008,4.27425
mng,2009,4.75756
mng,2010,5.2607
mng,2011,5.78366
mng,2012,6.32644
mng,2013,6.88904
mng,2014,7.47146
mng,2015,8.07371
mng,2016,8.69577
mng,2017,9.33766
mng,2018,9.99936
mng,2019,10.68089
mng,2020,11.38223
nga,2000,9.54808
nga,2001,9.98201
nga,2002,10.39862
nga,2003,10.81377
nga,2004,11.22749
nga,2005,11.63976
nga,2006,12.05058
nga,2007,12.45997
nga,2008,12.86791
nga,2009,13.2744
nga,2010,13.67945
nga,2011,14.08306
nga,2012,14.48522
nga,2013,14.88594
nga,2014,15.28521
nga,2015,15.68304
nga,2016,16.07943
nga,2017,16.47437
nga,2018,16.86787
nga,2019,17.25992
nga,2020,17.65053
nic,2000,26.12668
nic,2001,26.08
nic,2002,26.03332
nic,2003,25.98663
nic,2004,25.93995
nic,2005,25.89327
nic,2006,25.84658
nic,2007,25.7999
nic,2008,27.84264
nic,2009,29.8778
nic,2010,31.90538
nic,2011,33.92539
nic,2012,35.93783
nic,2013,37.94269
nic,2014,38.71603
nic,2015,38.6347
nic,2016,38.55342
nic,2017,38.54307
nic,2018,38.54307
nic,2019,38.54307
nic,2020,38.54307
npl,2000,25.0963
npl,2001,25.34151
npl,2002,25.58672
npl,2003,25.83193
npl,2004,26.07714
npl,2005,26.32236
npl,2006,26.56757
npl,2007,26.81278
npl,2008,27.05799
npl,2009,27.3032
npl,2010,27.54842
npl,2011,27.79363
npl,2012,28.03884
npl,2013,26.60327
npl,2014,25.13856
npl,2015,23.64471
npl,2016,22.12171
npl,2017,20.56957
npl,2018,18.98828
npl,2019,17.37785
npl,2020,15.73828
pak,2000,31.34652
pak,2001,31.44333
pak,2002,31.54014
pak,2003,31.63696
pak,2004,31.73377
pak,2005,31.83058
pak,2006,31.92739
pak,2007,32.02421
pak,2008,32.12102
pak,2009,32.21783
pak,2010,32.31464
pak,2011,32.41146
pak,2012,32.50827
pak,2013,32.60508
pak,2014,32.70189
pak,2015,32.79871
pak,2016,32.89552
pak,2017,32.99233
pak,2018,33.08914
pak,2019,33.18596
pak,2020,33.28277
per,2000,13.9537
per,2001,14.36039
per,2002,14.76708
per,2003,15.17378
per,2004,15.58047
per,2005,15.98716
per,2006,16.39385
per,2007,16.80055
per,2008,17.20724
per,2009,17.61393
per,2010,18.02062
per,2011,18.42732
per,2012,18.83401
per,2013,19.2407
per,2014,19.64739
per,2015,20.05408
per,2016,20.46078
per,2017,20.86747
per,2018,21.27416
per,2019,21.68085
per,2020,22.08755
phl,2000,21.31715
phl,2001,21.47047
phl,2002,23.73868
phl,2003,26.03688
phl,2004,28.36508
phl,2005,30.72327
phl,2006,31.50396
phl,2007,31.72117
phl,2008,31.93839
phl,2009,32.1556
phl,2010,32.37281
phl,2011,32.59003
phl,2012,32.80724
phl,2013,33.02445
phl,2014,33.24166
phl,2015,33.45888
phl,2016,33.67609
phl,2017,33.8933
phl,2018,34.11052
phl,2019,34.32773
phl,2020,34.54494
plw,2000,52.07173
plw,2001,53.13378
plw,2002,54.19731
plw,2003,55.26234
plw,2004,56.32884
plw,2005,57.39684
plw,2006,58.46632
plw,2007,59.53729
plw,2008,60.60974
plw,2009,61.68369
plw,2010,62.75911
plw,2011,63.83603
plw,2012,64.91443
plw,2013,65.99431
plw,2014,67.07569
plw,2015,68.15855
plw,2016,69.24289
plw,2017,70.32873
plw,2018,70.32873
plw,2019,70.32873
plw,2020,70.32873
prk,2000,54.8
prk,2001,54.8
prk,2002,54.8
prk,2003,54.8
prk,2004,54.74012
prk,2005,54.34626
