geo,time,en_atm_meth_kt_ce
cog,2014,3140
cog,2015,3360
cog,2016,3430
cog,2017,3450
cog,2018,3540
col,1990,57300
col,1991,57330
col,1992,58360
col,1993,59460
col,1994,60590
col,1995,61000
col,1996,61960
col,1997,61750
col,1998,62500
col,1999,61180
col,2000,62020
col,2001,63470
col,2002,64160
col,2003,65690
col,2004,66890
col,2005,67430
col,2006,68160
col,2007,70310
col,2008,71450
col,2009,72210
col,2010,74190
col,2011,71900
col,2012,70020
col,2013,70260
col,2014,70510
col,2015,71200
col,2016,71920
col,2017,74540
col,2018,76700
com,1990,170
com,1991,170
com,1992,170
com,1993,180
com,1994,180
com,1995,180
com,1996,180
com,1997,190
com,1998,190
com,1999,190
com,2000,170
com,2001,190
com,2002,190
com,2003,190
com,2004,190
com,2005,190
com,2006,210
com,2007,190
com,2008,210
com,2009,220
com,2010,230
com,2011,240
com,2012,250
com,2013,260
com,2014,260
com,2015,270
com,2016,280
com,2017,270
com,2018,270
cpv,1990,90
cpv,1991,90
cpv,1992,100
cpv,1993,100
cpv,1994,100
cpv,1995,100
cpv,1996,100
cpv,1997,100
cpv,1998,100
cpv,1999,100
cpv,2000,100
cpv,2001,100
cpv,2002,100
cpv,2003,100
cpv,2004,110
cpv,2005,110
cpv,2006,110
cpv,2007,110
cpv,2008,110
cpv,2009,120
cpv,2010,120
cpv,2011,120
cpv,2012,120
cpv,2013,120
cpv,2014,120
cpv,2015,130
cpv,2016,130
cpv,2017,120
cpv,2018,120
cri,1990,4290
cri,1991,4320
cri,1992,4330
cri,1993,4390
cri,1994,4140
cri,1995,3850
cri,1996,3850
cri,1997,3900
cri,1998,4030
cri,1999,4020
cri,2000,4040
cri,2001,3980
cri,2002,3920
cri,2003,3870
cri,2004,3810
cri,2005,3940
cri,2006,3920
cri,2007,4130
cri,2008,4300
cri,2009,4370
cri,2010,4430
cri,2011,4550
cri,2012,4490
cri,2013,4570
cri,2014,4590
cri,2015,4640
cri,2016,4810
cri,2017,4870
cri,2018,4820
cub,1990,12630
cub,1991,12270
cub,1992,12140
cub,1993,11170
cub,1994,11490
cub,1995,11800
cub,1996,12930
cub,1997,12890
cub,1998,12900
cub,1999,12570
cub,2000,12540
cub,2001,12410
cub,2002,12550
cub,2003,12770
cub,2004,12430
cub,2005,11900
cub,2006,12190
cub,2007,12280
cub,2008,12550
cub,2009,13180
cub,2010,13060
cub,2011,13360
cub,2012,13330
cub,2013,13350
cub,2014,13280
cub,2015,12780
cub,2016,12980
cub,2017,12600
cub,2018,12690
cyp,1990,530
cyp,1991,540
cyp,1992,550
cyp,1993,560
cyp,1994,580
cyp,1995,590
cyp,1996,600
cyp,1997,610
cyp,1998,620
cyp,1999,620
cyp,2000,640
cyp,2001,660
cyp,2002,680
cyp,2003,670
cyp,2004,670
cyp,2005,670
cyp,2006,670
cyp,2007,670
cyp,2008,680
cyp,2009,680
cyp,2010,690
cyp,2011,690
cyp,2012,690
cyp,2013,690
cyp,2014,700
cyp,2015,700
cyp,2016,720
cyp,2017,730
cyp,2018,740
cze,1990,23900
cze,1991,22390
cze,1992,20880
cze,1993,19880
cze,1994,18680
cze,1995,18140
cze,1996,17960
cze,1997,17560
cze,1998,16810
cze,1999,15890
cze,2000,15020
cze,2001,14750
cze,2002,14190
cze,2003,14100
cze,2004,13680
cze,2005,14050
cze,2006,14280
cze,2007,13830
cze,2008,13920
cze,2009,13580
cze,2010,13780
cze,2011,13750
cze,2012,13590
cze,2013,12790
cze,2014,12720
cze,2015,12730
cze,2016,12440
cze,2017,12430
cze,2018,12430
deu,1990,131610
deu,1991,127000
deu,1992,119240
deu,1993,118580
deu,1994,113710
deu,1995,111900
deu,1996,108860
deu,1997,105270
deu,1998,99140
deu,1999,98500
deu,2000,94110
deu,2001,89100
deu,2002,84880
deu,2003,80510
deu,2004,74530
deu,2005,70650
deu,2006,66720
deu,2007,64320
deu,2008,63510
deu,2009,60910
deu,2010,59920
deu,2011,58690
deu,2012,59220
deu,2013,58310
deu,2014,57160
deu,2015,56800
deu,2016,55520
deu,2017,54780
deu,2018,53370
dji,1990,460
dji,1991,470
dji,1992,470
dji,1993,480
dji,1994,500
dji,1995,540
dji,1996,560
dji,1997,580
dji,1998,590
dji,1999,620
dji,2000,630
dji,2001,640
dji,2002,640
dji,2003,640
dji,2004,650
dji,2005,660
dji,2006,650
dji,2007,660
dji,2008,660
dji,2009,660
dji,2010,660
dji,2011,670
dji,2012,670
dji,2013,670
dji,2014,680
dji,2015,680
dji,2016,680
dji,2017,680
dji,2018,690
dma,1990,100
dma,1991,100
dma,1992,100
dma,1993,100
dma,1994,100
dma,1995,90
dma,1996,80
dma,1997,70
dma,1998,60
dma,1999,50
dma,2000,40
dma,2001,40
dma,2002,40
dma,2003,40
dma,2004,40
dma,2005,40
dma,2006,40
dma,2007,40
dma,2008,40
dma,2009,40
dma,2010,40
dma,2011,40
dma,2012,40
dma,2013,40
dma,2014,40
dma,2015,40
dma,2016,40
dma,2017,50
dma,2018,50
dnk,1990,8860
dnk,1991,8980
dnk,1992,8970
dnk,1993,9110
dnk,1994,8960
dnk,1995,9030
dnk,1996,9070
dnk,1997,8960
dnk,1998,8950
dnk,1999,8740
dnk,2000,8650
dnk,2001,8890
dnk,2002,8640
dnk,2003,8550
dnk,2004,8320
dnk,2005,8140
dnk,2006,8020
dnk,2007,8030
dnk,2008,7800
dnk,2009,7570
dnk,2010,7780
dnk,2011,7620
dnk,2012,7470
dnk,2013,7340
dnk,2014,7210
dnk,2015,7180
dnk,2016,7170
dnk,2017,7090
dnk,2018,7140
dom,1990,6110
dom,1991,6750
dom,1992,6890
dom,1993,7500
dom,1994,7820
dom,1995,7600
dom,1996,7510
dom,1997,7290
dom,1998,7090
dom,1999,6660
dom,2000,6500
dom,2001,6830
dom,2002,7030
dom,2003,6950
dom,2004,7450
dom,2005,7250
dom,2006,7350
dom,2007,8050
dom,2008,8250
dom,2009,8550
dom,2010,8700
dom,2011,8770
dom,2012,8780
dom,2013,8830
dom,2014,8880
dom,2015,8890
dom,2016,8980
dom,2017,9100
dom,2018,9200
dza,1990,22070
dza,1991,22120
dza,1992,22540
dza,1993,22850
dza,1994,22900
dza,1995,25670
dza,1996,28450
dza,1997,31200
dza,1998,34180
dza,1999,37150
dza,2000,39920
dza,2001,41640
dza,2002,43160
dza,2003,45000
dza,2004,46890
dza,2005,48610
dza,2006,48510
dza,2007,48380
dza,2008,48070
dza,2009,48150
dza,2010,48210
dza,2011,48380
dza,2012,48690
dza,2013,48880
dza,2014,49230
dza,2015,49310
dza,2016,49400
dza,2017,49460
dza,2018,49550
ecu,1990,14580
ecu,1991,14740
ecu,1992,15790
ecu,1993,16490
ecu,1994,17090
ecu,1995,17370
ecu,1996,17790
ecu,1997,18410
ecu,1998,17660
ecu,1999,18000
ecu,2000,16820
ecu,2001,17900
ecu,2002,18590
ecu,2003,18860
ecu,2004,19750
ecu,2005,19720
ecu,2006,20120
ecu,2007,20000
ecu,2008,20180
ecu,2009,21050
ecu,2010,21350
ecu,2011,21370
ecu,2012,21530
ecu,2013,21740
ecu,2014,20840
ecu,2015,20360
ecu,2016,20510
ecu,2017,20690
ecu,2018,20350
egy,1990,24980
egy,1991,27650
egy,1992,30130
egy,1993,32350
egy,1994,34550
egy,1995,36650
egy,1996,38870
egy,1997,41530
egy,1998,42590
egy,1999,45980
egy,2000,48390
egy,2001,48260
egy,2002,49650
egy,2003,49970
egy,2004,50500
egy,2005,50700
egy,2006,52150
egy,2007,53700
egy,2008,54750
egy,2009,53600
egy,2010,53530
egy,2011,55070
egy,2012,56000
egy,2013,55670
egy,2014,55880
egy,2015,55570
egy,2016,56310
egy,2017,56050
egy,2018,56870
eri,1990,2460
