geo,time,ne_con_prvt_cn_ad
cmr,2001,5664118502200
cmr,2002,6194099626100
cmr,2003,6675470743100
cmr,2004,7036744792000
cmr,2005,7318566878500
cmr,2006,7761548464600
cmr,2007,8109704860300
cmr,2008,8913798283300
cmr,2009,9614866254900
cmr,2010,9916554873000
cmr,2011,10432806714800
cmr,2012,11088693314900
cmr,2013,11907595191000
cmr,2014,12904288489700
cmr,2015,13912503847100
cmr,2016,14186558000000
cmr,2017,14960034000000.09961
cmr,2018,15910249999999.90039
cmr,2019,16885900999999.90039
cmr,2020,17170311000000.09961
cod,1994,59078500
cod,1995,320929800
cod,1996,1919100000
cod,1997,6875899900
cod,1998,9280512000
cod,1999,44011538200
cod,2000,1154075195100
cod,2001,2020856730100
cod,2002,2561705347400
cod,2003,3317466448400
cod,2004,3511594421900
cod,2005,5060334936300
cod,2006,5682284696399.98047
cod,2007,7035189932099.98047
cod,2008,9585378103399.98047
cod,2009,13238596726100
cod,2010,14154096474500
cod,2011,17394356983600
cod,2012,22802531433000
cod,2013,22402180361300
cod,2014,24413219170200
cod,2015,24937872319500
cod,2016,29448408068900
cod,2017,40787405541600
cod,2018,58465871739300
cod,2019,62641413297500
cod,2020,62318936639700
cog,1990,264667153595.478
cog,1991,320229268359.94897
cog,1992,230834176330.45999
cog,1993,260196520133.76697
cog,1994,422702741518.82001
cog,1995,537491694013.34003
cog,1996,650864490911.52905
cog,1997,612671716552.44995
cog,1998,571086860014.31995
cog,1999,584276077183.73499
cog,2000,588445110252.44604
cog,2001,755162209275.76294
cog,2002,683481182941.94092
cog,2003,557980543737.20996
cog,2004,952903114078.11499
cog,2005,1090411000000
cog,2006,1249952000000
cog,2007,1419218000000
cog,2008,1667354000000
cog,2009,1778163999999.98999
cog,2010,1902713000000.01001
cog,2011,2042956000000
cog,2012,2141453000000
cog,2013,2305855068561.85986
cog,2014,2441426518780.64014
cog,2015,2646369986442.54004
cog,2016,2663202682043.7002
cog,2017,2610906121299.79004
cog,2018,2900187324758.8999
cog,2019,3140438785176.68018
cog,2020,3369565000000
col,1990,18493554009266.69531
col,1991,24138779440502.69531
col,1992,31959400111117.60156
col,1993,42001827608564.79688
col,1994,53528914790182.29688
col,1995,66699607392583.20312
col,1996,79331763467080.70312
col,1997,95240146836601.5
col,1998,111268029941790
col,1999,117413422246657
col,2000,144863000000000
col,2001,159289000000000
col,2002,171871000000000
col,2003,188118000000000
col,2004,206814000000000
col,2005,229366000000000
col,2006,257066000000000
col,2007,287306000000000
col,2008,314924000000000
col,2009,333624000000000
col,2010,358720000000000
col,2011,399719000000000
col,2012,437445999999999.0625
col,2013,467972999999999.0625
col,2014,503293999999999.0625
col,2015,551012999999999.0625
col,2016,596525000000000
col,2017,630636000000001
col,2018,672866999999999
col,2019,727393999999998.125
col,2020,700870420579579
com,1990,96162170160.9156
com,1991,98360690477.75488
com,1992,99530155486.62828
com,1993,105426439176.70599
com,1994,109267383494.94901
com,1995,122632170026.05499
com,1996,124920293902.026
com,1997,131155593119.953
com,1998,134626114477.25
com,1999,145191020722.49799
