geo,time,sl_tlf_acti_1524_fe_ne_zs
phl,2002,38.25
phl,2003,32.98
phl,2004,32.94
phl,2005,33.47
phl,2006,33.08
phl,2007,32.38
phl,2008,31.61
phl,2009,32.25
phl,2010,32.07
phl,2011,33.25
phl,2012,32.8
phl,2013,31.99
phl,2014,32.78
phl,2015,31.36
phl,2016,30.29
phl,2017,27.5
phl,2018,27.19
phl,2019,26.99
phl,2020,23.26
plw,1995,50.51
plw,2000,25.5
plw,2005,26.4
plw,2014,26.75
png,1966,89.5
png,1971,56.47
png,2000,60.76
png,2010,38.77
pol,1960,55.34
pol,1970,47.58
pol,1978,46.79
pol,1988,39.31
pol,1992,40.37
pol,1993,38.3
pol,1994,37.89
pol,1995,35.57
pol,1996,34.58
pol,1997,31.97
pol,1998,32.04
pol,1999,31.37
pol,2000,34.85
pol,2001,36.7
pol,2002,34.01
pol,2003,31.87
pol,2004,31.24
pol,2005,31.79
pol,2006,30.69
pol,2007,29.34
pol,2008,29.57
pol,2009,29.4
pol,2010,29.63
pol,2011,28.08
pol,2012,28.36
pol,2013,27.91
pol,2014,28.66
pol,2015,26.94
pol,2016,28.95
pol,2017,29.66
pol,2018,30.73
pol,2019,30.98
pol,2020,27.38
pri,1960,17.62
pri,1970,21.64
pri,1976,22.46
pri,1977,22.49
pri,1978,21.49
pri,1979,22.8
pri,1980,22.67
pri,1981,22.72
pri,1982,22.03
pri,1983,18.92
pri,1984,21
pri,1985,20.97
pri,1986,16.67
pri,1987,17.05
pri,1988,20.6
pri,1990,21.8
pri,1991,20.85
pri,1992,21.48
pri,1993,26.28
pri,1995,26.35
pri,1996,26.24
pri,1997,28.62
pri,1998,28.08
pri,1999,29.9
pri,2000,28.52
pri,2002,29.14
pri,2003,30.96
pri,2004,29.58
pri,2005,31.27
pri,2006,27.61
pri,2007,23.16
pri,2008,24.43
pri,2010,19.1
pri,2011,19.1
pri,2012,21.8
prt,1960,26.91
prt,1970,45.11
prt,1978,61.89
prt,1979,63.67
prt,1980,61.99
prt,1981,62.46
prt,1982,61.32
