geo,time,nv_mnf_chem_zs_un
pak,1972,13.81889
pak,1973,12.69292
pak,1974,12.03892
pak,1975,11.20857
pak,1976,10.22561
pak,1977,10.96598
pak,1978,11.17893
pak,1979,11.41661
pak,1980,11.66397
pak,1981,12.31005
pak,1982,12.01308
pak,1983,13.31057
pak,1984,16.79438
pak,1985,15.78049
pak,1986,16.19543
pak,1987,14.53252
pak,1988,14.2454
pak,1989,14.70337
pak,1990,14.96555
pak,1991,15.03608
pak,1996,16.26198
pak,2001,16.62454
pak,2006,14.03498
pan,1963,4.29731
pan,1964,4.00152
pan,1965,3.40857
pan,1966,4.34909
pan,1967,4.74955
pan,1968,4.49551
pan,1969,5.4023
pan,1970,4.84867
pan,1971,4.37861
pan,1972,5.23293
pan,1973,5.55712
pan,1974,4.57706
pan,1975,5.4097
pan,1976,6.61236
pan,1977,6.12363
pan,1978,7.02826
pan,1979,6.44765
pan,1980,6.25476
pan,1981,6.40748
pan,1982,7.44382
pan,1983,6.85684
pan,1984,8.06613
pan,1985,9.19776
pan,1986,8.46356
pan,1987,8.09753
pan,1988,8.33646
pan,1989,9.07042
pan,1990,8.25795
pan,1991,8.62378
pan,1992,5.9205
pan,1993,7.40748
pan,1994,7.27287
pan,1995,6.99445
pan,1996,6.88978
pan,1997,6.87036
pan,1998,6.68127
pan,1999,5.94864
pan,2000,6.728
pan,2001,4.59125
per,1974,9.16031
per,1975,9.375
per,1976,9.2511
per,1977,8.87372
per,1978,9.82318
per,1979,9.36073
per,1980,10.06944
per,1981,14.02027
per,1982,10.28571
per,1983,9.82669
per,1984,12.99923
per,1985,8.93551
per,1986,11.04444
per,1987,9.10492
per,1988,9.83836
per,1989,9.68307
per,1990,9.01734
per,1991,8.44076
per,1992,9.64951
per,1993,9.64951
per,1994,8.69906
per,1995,9.42698
per,1996,9.67533
per,1997,9.67533
per,1998,9.67533
per,1999,11.11794
per,2000,11.11794
per,2001,11.11809
per,2002,11.37206
per,2003,11.39942
per,2004,10.55136
per,2005,10.78465
per,2006,10.99578
per,2007,11.47019
