geo,time,cm_mkt_trad_gd_zs
isr,2004,22.33569
isr,2005,29.75042
isr,2006,40.97665
isr,2007,55.56533
isr,2008,44.2941
isr,2009,38.25091
isr,2010,46.12401
isr,2011,29.20787
isr,2012,19.65899
isr,2013,18.8936
isr,2014,15.21187
isr,2015,18.78547
isr,2016,16.24448
isr,2017,19.43208
isr,2018,16.71129
isr,2019,17.20603
isr,2020,25.7044
ita,1975,0.71894
ita,1976,0.55892
ita,1977,0.33618
ita,1978,0.62465
ita,1979,0.87907
ita,1980,1.79648
ita,1981,2.51916
ita,1982,0.65235
ita,1983,0.87389
ita,1984,0.92384
ita,1985,3.03267
ita,1986,5.98876
ita,1987,4.01873
ita,1988,3.54465
ita,1989,4.52622
ita,1990,3.57003
ita,1991,1.88034
ita,1992,2.09308
ita,1993,6.1921
ita,1994,10.8575
ita,1995,7.41363
ita,1996,7.81337
ita,1997,16.35684
ita,1998,38.261
ita,1999,42.79472
ita,2000,86.29751
ita,2001,51.34048
ita,2002,45.1499
ita,2003,46.4288
ita,2004,49.83021
ita,2005,56.76262
ita,2006,62.01171
ita,2007,100.02076
ita,2008,57.47713
ita,2009,42.12942
ita,2010,31.17169
ita,2011,36.88907
ita,2012,37.49985
ita,2013,35.94857
ita,2014,95.08103
jam,1993,5.39148
jam,1994,2.96008
jam,1995,1.48521
jam,1996,1.84152
jam,1997,1.57392
jam,1998,0.63399
jam,1999,0.60594
jam,2000,0.8473
jam,2001,1.3486
jam,2002,1.57629
jam,2011,1.77256
jam,2012,4.83822
jam,2013,0.49775
jam,2014,0.90077
jam,2015,4.31977
jam,2016,2.89534
jam,2017,2.31062
jam,2018,3.57636
jam,2019,4.95788
jam,2020,0.32702
jor,1993,23.65211
jor,1994,11.27331
jor,1995,8.78491
jor,1996,5.05459
jor,1997,6.9126
jor,1998,8.24283
jor,1999,6.7308
jor,2000,5.57182
jor,2001,10.51061
jor,2002,13.97554
jor,2003,25.66386
jor,2004,46.88473
jor,2005,189.18288
