geo,time,ic_wrh_durs
nor,2010,235.5
nor,2011,235.5
nor,2012,109.5
nor,2013,109.5
nor,2014,109.5
nor,2015,109.5
nor,2016,109.5
nor,2017,109.5
nor,2018,109.5
nor,2019,109.5
npl,2005,150
npl,2006,150
npl,2007,150
npl,2008,150
npl,2009,140
npl,2010,119
npl,2011,119
npl,2012,119
npl,2013,119
npl,2014,87
npl,2015,87
npl,2016,118
npl,2017,118
npl,2018,118
npl,2019,118
nzl,2005,93
nzl,2006,93
nzl,2007,93
nzl,2008,93
nzl,2009,93
nzl,2010,93
nzl,2011,93
nzl,2012,93
nzl,2013,93
nzl,2014,93
nzl,2015,93
nzl,2016,93
nzl,2017,93
nzl,2018,93
nzl,2019,93
omn,2005,137
omn,2006,137
omn,2007,137
omn,2008,137
omn,2009,137
omn,2010,137
omn,2011,125
omn,2012,125
omn,2013,125
omn,2014,125
omn,2015,125
omn,2016,125
omn,2017,125
omn,2018,125
omn,2019,125
pak,2013,285.5
pak,2014,285.5
pak,2015,285.5
pak,2016,285.5
pak,2017,285.5
pak,2018,285.15
pak,2019,124.9
pan,2005,147
pan,2006,147
pan,2007,147
pan,2008,147
pan,2009,118
pan,2010,118
pan,2011,118
pan,2012,107
pan,2013,105
pan,2014,105
pan,2015,105
pan,2016,105
pan,2017,105
pan,2018,105
pan,2019,105
per,2005,186
per,2006,200
per,2007,200
per,2008,202
per,2009,197
per,2010,182
per,2011,182
per,2012,167
per,2013,167
per,2014,167
per,2015,167
per,2016,167
per,2017,137
per,2018,137
per,2019,137
phl,2005,128
phl,2006,129
phl,2007,129
phl,2008,129
phl,2009,129
phl,2010,129
phl,2011,129
phl,2012,128
phl,2013,122
phl,2014,122
phl,2015,122
phl,2016,122
phl,2017,122
phl,2018,122
phl,2019,120
plw,2005,90
plw,2006,90
plw,2007,90
plw,2008,90
plw,2009,90
plw,2010,90
plw,2011,90
plw,2012,90
plw,2013,90
plw,2014,90
plw,2015,90
plw,2016,90
plw,2017,90
plw,2018,90
plw,2019,90
png,2005,217
png,2006,217
png,2007,217
png,2008,217
png,2009,217
png,2010,217
png,2011,217
png,2012,217
png,2013,217
png,2014,217
png,2015,217
png,2016,217
png,2017,217
png,2018,217
png,2019,217
pol,2005,282
pol,2006,282
pol,2007,268
pol,2008,268
pol,2009,268
pol,2010,268
pol,2011,153
pol,2012,138
pol,2013,140
pol,2014,138
pol,2015,138
pol,2016,137
pol,2017,137
pol,2018,137
pol,2019,137
pri,2005,175
pri,2006,175
pri,2007,175
pri,2008,175
pri,2009,175
pri,2010,175
pri,2011,191
pri,2012,191
pri,2013,191
pri,2014,165
pri,2015,165
pri,2016,165
pri,2017,165
pri,2018,165
pri,2019,165
prt,2005,351
prt,2006,351
prt,2007,351
prt,2008,351
prt,2009,310
prt,2010,227
prt,2011,196
prt,2012,165
prt,2013,160
prt,2014,160
prt,2015,160
prt,2016,160
prt,2017,160
prt,2018,160
prt,2019,160
pry,2005,275
pry,2006,275
pry,2007,275
pry,2008,275
pry,2009,275
pry,2010,163
pry,2011,121
pry,2012,121
pry,2013,121
pry,2014,121
pry,2015,121
pry,2016,121
pry,2017,121
pry,2018,121
pry,2019,121
pse,2005,109
pse,2006,109
pse,2007,109
pse,2008,109
pse,2009,109
pse,2010,109
pse,2011,109
pse,2012,109
pse,2013,109
pse,2014,109
pse,2015,108
pse,2016,108
pse,2017,108
pse,2018,108
pse,2019,108
qat,2007,62
qat,2008,62
qat,2009,62
qat,2010,62
qat,2011,62
qat,2012,62
qat,2013,62
qat,2014,62
qat,2015,87.5
