geo,time,gc_tax_gsrv_va_zs
fra,1999,13.22643
fra,2000,12.61855
fra,2001,12.24432
fra,2002,12.21041
fra,2003,12.07536
fra,2004,11.85851
fra,2005,11.73227
fra,2006,11.62611
fra,2007,11.19298
fra,2008,10.77932
fra,2009,10.59371
fra,2010,10.72209
fra,2011,10.79816
fra,2012,10.88755
fra,2013,11.0118
fra,2014,11.1232
fra,2015,11.22543
fra,2016,11.26278
fra,2017,11.56042
fra,2018,11.60819
fra,2019,11.60529
fsm,2008,1.97248
fsm,2009,2.0899
fsm,2010,2.13188
fsm,2011,2.23153
fsm,2012,2.32447
fsm,2013,2.27872
fsm,2014,1.9905
fsm,2015,2.00923
fsm,2016,1.97292
fsm,2017,1.95117
fsm,2018,1.9805
fsm,2019,1.85531
gab,2012,2.5761
gab,2013,3.89018
gab,2014,3.89428
gab,2015,2.45003
gab,2016,3.17762
gab,2017,2.98067
gab,2018,1.94002
gab,2019,2.33773
gbr,1990,9.70715
gbr,1991,10.332
gbr,1992,10.60805
gbr,1993,10.34097
gbr,1994,10.84055
gbr,1995,11.66617
gbr,1996,11.69764
gbr,1997,12.00909
gbr,1998,12.292
gbr,1999,12.80541
gbr,2000,12.73232
gbr,2001,12.39371
gbr,2002,12.44432
gbr,2003,12.41727
gbr,2004,12.50487
gbr,2005,12.01912
gbr,2006,12.0343
gbr,2007,12.09955
gbr,2008,11.49815
gbr,2009,10.91566
gbr,2010,12.17246
gbr,2011,13.0835
gbr,2012,13.00025
gbr,2013,13.09435
gbr,2014,13.18733
gbr,2015,13.17026
gbr,2016,13.2097
gbr,2017,13.17543
gbr,2018,13.13251
gbr,2019,13.00901
geo,1996,6.26606
geo,1997,9.3101
geo,1998,7.64317
geo,1999,9.68695
geo,2000,9.08037
geo,2001,9.73613
geo,2002,10.03608
geo,2003,9.06926
geo,2004,11.93517
geo,2005,14.87945
geo,2006,15.82688
geo,2007,18.18313
geo,2008,17.02941
geo,2009,17.43028
geo,2010,15.84596
geo,2011,16.74985
geo,2012,16.7981
geo,2013,15.47192
geo,2014,16.42974
geo,2015,15.88711
geo,2016,15.0516
geo,2017,16.99025
geo,2018,16.4769
geo,2019,16.89209
geo,2020,15.55769
gha,1990,6.83045
gha,1991,10.44265
gha,1992,8.3838
gha,1993,10.99551
gha,2001,6.80786
gha,2002,8.10838
gha,2003,15.30801
gha,2004,20.42118
gha,2005,20.0375
gha,2006,9.64606
gha,2007,10.03282
gha,2008,9.41829
gha,2009,8.20925
gha,2010,7.9951
gha,2011,8.51111
gha,2012,7.48471
gha,2013,5.19908
gha,2016,7.77827
gha,2017,6.91493
gha,2018,6.50674
gha,2019,6.30898
gin,1990,3.23147
gin,1991,4.20899
gin,1992,4.07767
gmb,1990,9.60135
gnb,2017,9.53222
gnb,2019,5.55313
gnq,2006,0.55468
gnq,2007,0.48914
gnq,2008,0.34286
gnq,2009,0.62633
gnq,2010,0.56796
gnq,2011,0.53825
gnq,2012,0.835
gnq,2013,0.52441
gnq,2014,0.59237
