geo,time,bn_trf_curr_cd
che,2006,-6194577600.46058
che,2007,-5904034514.77715
che,2008,-8738024884.30328
che,2009,-7923229743.79367
che,2010,-8073216494.66065
che,2011,-8196523804.3483
che,2012,-8347338716.00521
che,2013,-11689990537.1558
che,2014,-18037437925.7884
che,2015,-12308124073.0123
che,2016,-9608109343.29012
che,2017,-13297478179.654
che,2018,-9159045422.74722
che,2019,-12278602481.6454
che,2020,-16871585126.8484
chl,1975,12000000
chl,1976,48000000
chl,1977,96000000
chl,1978,97000000
chl,1979,105000000
chl,1980,113000000
chl,1981,108000000
chl,1982,109000000
chl,1983,97000000
chl,1984,107000000
chl,1985,146500000
