geo,time,sh_sta_stnt_me_zs
hnd,2012,22.7
hnd,2013,22.3
hnd,2014,22.1
hnd,2015,21.9
hnd,2016,21.6
hnd,2017,21.3
hnd,2018,20.9
hnd,2019,20.4
hnd,2020,19.9
hti,2000,30.9
hti,2001,30.2
hti,2002,29.4
hti,2003,28.8
hti,2004,28.2
hti,2005,27.6
hti,2006,27.1
hti,2007,26.6
hti,2008,26.1
hti,2009,25.6
hti,2010,25.1
hti,2011,24.5
hti,2012,23.9
hti,2013,23.3
hti,2014,22.8
hti,2015,22.3
hti,2016,21.8
hti,2017,21.5
hti,2018,21.2
hti,2019,20.7
hti,2020,20.4
idn,2000,41.5
idn,2001,40.7
idn,2002,40
idn,2003,39.4
idn,2004,38.8
idn,2005,38.3
idn,2006,37.8
idn,2007,37.3
idn,2008,36.9
idn,2009,36.3
idn,2010,35.7
idn,2011,35.1
idn,2012,34.5
idn,2013,33.8
idn,2014,33.3
idn,2015,32.9
idn,2016,32.5
idn,2017,32.3
idn,2018,32.2
idn,2019,32
idn,2020,31.8
ind,2000,49.8
ind,2001,49.4
ind,2002,49.1
ind,2003,48.8
ind,2004,48.5
ind,2005,48.2
ind,2006,47.8
ind,2007,47.3
ind,2008,46.6
ind,2009,45.7
ind,2010,44.5
ind,2011,43.1
ind,2012,41.7
ind,2013,40.3
ind,2014,38.9
ind,2015,37.5
ind,2016,36.2
ind,2017,34.8
ind,2018,33.5
ind,2019,32.1
ind,2020,30.9
irn,2000,14.5
irn,2001,12.9
irn,2002,11.4
irn,2003,10.2
irn,2004,9.2
irn,2005,8.4
irn,2006,7.7
irn,2007,7.2
irn,2008,6.8
irn,2009,6.5
irn,2010,6.3
irn,2011,6.1
irn,2012,6.1
irn,2013,6.1
irn,2014,6.1
irn,2015,6.2
irn,2016,6.2
irn,2017,6.2
irn,2018,6.2
irn,2019,6.3
irn,2020,6.3
irq,2000,28.4
irq,2001,28
irq,2002,27.5
irq,2003,27.3
irq,2004,26.8
irq,2005,26.3
irq,2006,25.8
irq,2007,25.2
irq,2008,24.2
irq,2009,23
irq,2010,21.8
irq,2011,20.6
irq,2012,19.2
irq,2013,18
irq,2014,17.1
irq,2015,16.2
irq,2016,15.3
irq,2017,14.4
irq,2018,13.4
irq,2019,12.5
irq,2020,11.6
jam,2000,7.4
jam,2001,7
jam,2002,6.7
jam,2003,6.5
jam,2004,6.4
jam,2005,6.2
jam,2006,6.2
jam,2007,6.2
jam,2008,6.2
jam,2009,6.3
jam,2010,6.4
jam,2011,6.6
jam,2012,6.8
jam,2013,7
jam,2014,7.2
jam,2015,7.5
jam,2016,7.7
jam,2017,7.9
jam,2018,8.1
jam,2019,8.3
jam,2020,8.5
jor,2000,11
jor,2001,10.7
jor,2002,10.5
jor,2003,10.3
jor,2004,9.9
jor,2005,9.7
jor,2006,9.4
jor,2007,9.1
jor,2008,8.8
jor,2009,8.5
jor,2010,8.2
jor,2011,8
jor,2012,7.9
jor,2013,7.8
jor,2014,7.7
jor,2015,7.7
jor,2016,7.7
jor,2017,7.7
jor,2018,7.6
jor,2019,7.5
jor,2020,7.3
jpn,2000,8.4
jpn,2001,8.3
jpn,2002,8.1
jpn,2003,7.9
jpn,2004,7.7
jpn,2005,7.6
jpn,2006,7.4
jpn,2007,7.3
jpn,2008,7.1
jpn,2009,7
jpn,2010,6.9
jpn,2011,6.7
jpn,2012,6.6
jpn,2013,6.5
jpn,2014,6.3
jpn,2015,6.1
jpn,2016,6
jpn,2017,5.8
jpn,2018,5.7
jpn,2019,5.6
jpn,2020,5.5
kaz,2000,17.7
kaz,2001,17.2
kaz,2002,16.7
kaz,2003,16.2
kaz,2004,15.8
kaz,2005,15.3
kaz,2006,14.7
kaz,2007,14.1
kaz,2008,13.5
kaz,2009,12.8
kaz,2010,12.3
kaz,2011,11.7
kaz,2012,11.1
kaz,2013,10.4
kaz,2014,9.8
kaz,2015,9.1
kaz,2016,8.6
kaz,2017,8.1
kaz,2018,7.6
kaz,2019,7.1
kaz,2020,6.7
