geo,time,se_adt_1524_lt_fe_zs
tur,2016,99.37155
tur,2017,99.58643
tur,2019,99.84731
tza,1988,77.86617
tza,2002,76.20202
tza,2010,72.771
tza,2012,84.84802
tza,2015,84.6408
uga,1991,63.12383
uga,2002,76.1791
uga,2006,81.12965
uga,2010,85.47146
uga,2012,81.6542
uga,2018,89.95064
ukr,2001,99.83452
ukr,2012,99.98272
ury,1975,98.83565
ury,1985,98.99508
ury,1996,99.0173
ury,2006,99.11466
ury,2007,99.01907
ury,2008,99.3203
ury,2009,99.2278
ury,2010,99.22541
ury,2011,99.12098
ury,2012,99.29778
ury,2013,99.31015
ury,2014,99.39062
ury,2015,99.22868
ury,2016,99.4413
ury,2017,99.31699
ury,2018,99.16599
ury,2019,99.32463
uzb,2000,99.89448
uzb,2013,99.99996
uzb,2014,99.99996
uzb,2015,99.99996
uzb,2016,99.99993
uzb,2018,99.99992
uzb,2019,99.99992
vct,1970,97.9976
ven,1981,93.88531
ven,1990,96.35971
ven,2001,98.06629
ven,2007,98.8361
ven,2009,98.80499
ven,2011,98.23637
ven,2015,99.31739
ven,2016,99.09258
vnm,1979,94.02294
vnm,1989,93.40222
vnm,1999,94.29809
vnm,2000,94.05552
vnm,2009,96.78113
vnm,2019,98.53767
vut,1979,67.64406
vut,1984,74.3
vut,1994,85.1
vut,2004,91.8
vut,2014,95.6
vut,2018,96.59661
wsm,1991,98.95
wsm,2011,99.45804
wsm,2018,99.43575
yem,1994,35.37773
yem,2004,60.6
zaf,1980,84.97326
zaf,1996,94.28854
zaf,2007,98.09211
zaf,2009,98.8174
zaf,2010,98.90137
zaf,2011,99.15214
zaf,2012,99.27071
zaf,2014,99.08437
zaf,2015,99.22904
zaf,2017,96.87589
zaf,2019,98.82957
zmb,1990,65.52437
zmb,1999,66.22681
zmb,2002,66.31098
zmb,2007,58.47755
zmb,2010,86.50945
zmb,2018,91.62819
zwe,1982,84.81224
zwe,1992,94.35344
zwe,2011,92.12456
zwe,2014,93.18835
