geo,time,gc_tax_expt_zs
mng,2002,0.39807
mng,2003,0.48133
mng,2006,0.59155
mng,2007,0.53433
mng,2008,0.61874
mng,2009,0.43619
mng,2010,0.00993
mng,2011,0.00762
mng,2012,0.00764
mng,2013,0.00626
mng,2014,0.00668
mng,2015,0.00328
mng,2016,0.00509
mng,2017,0
mng,2018,0.01228
moz,2010,0
moz,2011,0
moz,2012,0
moz,2013,0
moz,2016,0
moz,2017,0
moz,2018,0
moz,2019,0
mus,1973,9.55272
mus,1974,10.95953
mus,1975,19.66667
mus,1976,13.32277
mus,1977,11.64135
mus,1978,12.60027
mus,1979,11.51741
mus,1980,17.93943
mus,1981,14.8909
mus,1982,19.34064
mus,1983,17.09009
mus,1984,15.77051
mus,1985,12.35884
mus,1986,13.11424
mus,1987,12.74278
mus,1988,11.04938
mus,1989,9.1283
mus,1990,4.83565
mus,1991,4.71205
mus,1992,4.33213
mus,1993,4.16135
mus,1994,3.42638
mus,1995,0
mus,1996,0
mus,1997,0
mus,1998,0
mus,1999,0
mus,2000,0
mus,2001,0
mus,2002,0
mus,2003,0
mus,2004,0
mus,2005,0
mus,2006,0
mus,2007,0
mus,2008,0
mus,2009,0
mus,2010,0
mus,2011,0
mus,2012,0
mus,2013,0
mus,2014,0
mus,2015,0
mus,2016,0
mus,2017,0
mus,2018,0
mus,2019,0
mwi,2009,0
mwi,2010,0
mwi,2011,0
mwi,2012,0
mwi,2013,0
mwi,2014,0
mwi,2015,0
mwi,2016,0
mwi,2017,0
mwi,2018,0
mwi,2019,0
mwi,2020,0
mys,1996,2.11723
mys,1997,1.89171
mys,1998,1.31471
mys,1999,1.58061
mys,2000,2.11932
mys,2001,1.38187
mys,2002,1.20104
mys,2003,1.78145
mys,2004,2.22065
mys,2005,2.58707
mys,2006,2.72596
mys,2007,2.44023
mys,2008,2.46143
mys,2009,1.08178
mys,2010,1.65288
mys,2011,1.5428
mys,2012,1.29778
mys,2013,1.23756
mys,2014,1.15277
mys,2015,0.62802
mys,2016,0.57877
mys,2017,0.76257
mys,2018,0.99119
mys,2019,0.62358
nam,1990,3.64238
nam,1991,4.07477
nam,1992,3.8117
nam,2000,0.00009
nam,2001,0
nam,2002,0.00008
nam,2003,0
nam,2004,0
nam,2005,0
nam,2006,0
nam,2007,0
nam,2008,0
nam,2009,0
nam,2010,0
nam,2011,0
nam,2012,0
nam,2013,0
nam,2014,0
nam,2015,0
nam,2016,0
nam,2017,0
nam,2018,0
nam,2019,0
ner,1976,5.57086
ner,1977,5.79081
ner,1978,5.11519
ner,1979,4.69653
ner,1980,5.05036
nic,1990,0.01703
nic,1991,0.02733
nic,1992,0.00562
nic,1993,0
nic,1994,0
nic,1995,0
nic,1996,0
nic,1997,0
nic,1998,0
nic,1999,0
nic,2000,0
nic,2001,0
nic,2002,0
nic,2003,0
nic,2004,0
nic,2005,0
nic,2006,0
nic,2007,0
nic,2008,0
nic,2009,0
nic,2010,0
nic,2011,0
nic,2012,0
nic,2013,0
nic,2014,0
nic,2015,0
nic,2016,0
nic,2017,0
nic,2018,0
nic,2019,0
nld,1973,0
nld,1974,0
nld,1975,0
nld,1976,0
nld,1977,0
nld,1978,0
nld,1979,0
nld,1980,0
nld,1981,0
nld,1982,0
nld,1983,0
nld,1984,0
nld,1985,0
nld,1986,0
nld,1987,0
nld,1988,0
nld,1989,0
nld,1990,0
nld,1991,0
nld,1992,0
nld,1993,0
nld,1994,0
nld,1995,0
nld,1996,0
nld,1997,0
nld,1998,0
nld,1999,0
nld,2000,0
nld,2001,0
nld,2002,0
nld,2003,0
nld,2004,0
nld,2005,0
nld,2006,0
nld,2007,0
nld,2008,0
nld,2009,0
nld,2010,0
nld,2011,0
nld,2012,0
nld,2013,0
nld,2014,0
nld,2015,0
nld,2016,0
nld,2017,0
nld,2018,0
nld,2019,0
nor,1972,0.04953
nor,1973,0.13392
nor,1974,0.12674
nor,1975,0.11418
nor,1976,0.11367
nor,1977,0.12502
nor,1978,0.18604
nor,1979,0.09526
nor,1980,0.13136
nor,1981,0.13672
nor,1982,0.14167
nor,1983,0.15123
nor,1984,0.14889
nor,1985,0.13377
nor,1986,0.11268
nor,1987,0.12799
nor,1988,0.12439
nor,1989,0.14609
nor,1990,0.14209
nor,1991,0.13433
nor,1992,0.13285
nor,1993,0.09189
nor,1994,0.03383
nor,1995,0
nor,1996,0
nor,1997,0
nor,1998,0
nor,1999,0
nor,2000,0
nor,2001,0
nor,2002,0
nor,2003,0
nor,2004,0
nor,2005,0
nor,2006,0
nor,2007,0.0169
nor,2008,0.0158
nor,2009,0.0203
nor,2010,0.02167
nor,2011,0.02248
nor,2012,0.02295
nor,2013,0.0229
nor,2014,0.02783
nor,2015,0.02574
nor,2016,0.03054
nor,2017,0.03146
nor,2018,0.03123
nor,2019,0.03307
npl,1990,0.44502
npl,1991,0.95168
npl,1992,1.1615
npl,1993,1.20606
npl,1994,2.77237
npl,1995,1.68579
npl,1996,0.69109
npl,1997,0.68653
npl,1998,0.8349
npl,1999,1.31214
npl,2000,1.30309
npl,2001,1.26849
npl,2002,2.33149
npl,2003,2.00907
npl,2004,1.09418
npl,2005,1.2899
npl,2006,1.08883
npl,2007,0.98219
npl,2008,0.52328
npl,2009,0.67816
npl,2010,0.57293
npl,2011,0.16132
npl,2012,0.40693
npl,2013,0.16939
npl,2014,0.34243
npl,2015,0.08846
npl,2016,0.03789
npl,2017,0.02336
npl,2018,0.01552
npl,2019,0.03109
nru,2014,0
nru,2015,0
nru,2016,0
nru,2017,0
nru,2018,0
nzl,1972,0
nzl,1973,0
nzl,1974,0
nzl,1975,0
nzl,1976,0
nzl,1977,0
nzl,1978,0.15994
nzl,1979,0.13258
nzl,1980,0.11327
nzl,1981,0.09076
nzl,1982,0.09879
nzl,1983,0.11461
nzl,1984,0.12526
nzl,1985,0.09772
nzl,1986,0.10862
nzl,1987,0.10606
nzl,1988,0.04796
nzl,2001,0
nzl,2002,0
nzl,2003,0
nzl,2004,0
nzl,2005,0
nzl,2006,0
nzl,2007,0
nzl,2008,0
nzl,2009,0
nzl,2010,0
nzl,2011,0
nzl,2012,0
nzl,2013,0
nzl,2014,0
