geo,time,sp_pop_65up_to_zs
bhs,1974,3.60955
bhs,1975,3.66286
bhs,1976,3.74425
bhs,1977,3.8427
bhs,1978,3.9518
bhs,1979,4.0474
bhs,1980,4.11366
bhs,1981,4.16717
bhs,1982,4.17605
bhs,1983,4.16511
bhs,1984,4.1553
bhs,1985,4.15427
bhs,1986,4.15535
bhs,1987,4.17559
bhs,1988,4.20366
bhs,1989,4.23782
bhs,1990,4.26933
bhs,1991,4.34316
bhs,1992,4.41042
bhs,1993,4.47746
bhs,1994,4.54964
bhs,1995,4.63767
bhs,1996,4.76727
bhs,1997,4.90747
bhs,1998,5.05924
bhs,1999,5.21931
bhs,2000,5.38431
bhs,2001,5.49637
bhs,2002,5.59611
bhs,2003,5.67498
bhs,2004,5.73231
bhs,2005,5.78097
bhs,2006,5.85017
bhs,2007,5.91602
bhs,2008,5.982
bhs,2009,6.04827
bhs,2010,6.11367
bhs,2011,6.21339
bhs,2012,6.31766
bhs,2013,6.43246
bhs,2014,6.55635
bhs,2015,6.69204
bhs,2016,6.87508
bhs,2017,7.06055
bhs,2018,7.2576
bhs,2019,7.48327
bhs,2020,7.74812
bih,1960,3.4427
bih,1961,3.53627
bih,1962,3.6464
bih,1963,3.766
bih,1964,3.8852
bih,1965,3.99989
bih,1966,4.11427
bih,1967,4.21513
bih,1968,4.30804
bih,1969,4.40068
bih,1970,4.49905
bih,1971,4.6885
bih,1972,4.86911
bih,1973,5.033
bih,1974,5.17314
bih,1975,5.28623
bih,1976,5.4382
bih,1977,5.58066
bih,1978,5.70042
bih,1979,5.77459
bih,1980,5.79355
bih,1981,5.75185
bih,1982,5.66306
bih,1983,5.55941
bih,1984,5.48316
bih,1985,5.45865
bih,1986,5.57269
bih,1987,5.73834
bih,1988,5.95989
bih,1989,6.24097
bih,1990,6.58488
bih,1991,7.04801
bih,1992,7.55783
bih,1993,8.10429
bih,1994,8.66589
bih,1995,9.21923
bih,1996,9.59727
bih,1997,9.93255
bih,1998,10.24926
bih,1999,10.58941
bih,2000,10.97538
bih,2001,11.50522
bih,2002,12.10125
bih,2003,12.69729
bih,2004,13.18792
bih,2005,13.51632
bih,2006,13.7597
bih,2007,13.83541
bih,2008,13.82386
bih,2009,13.8433
bih,2010,13.95963
bih,2011,14.01405
bih,2012,14.11764
bih,2013,14.23288
bih,2014,14.34463
bih,2015,14.48057
bih,2016,15.07844
bih,2017,15.74976
bih,2018,16.47032
bih,2019,17.20115
bih,2020,17.91577
blr,1960,8.34772
blr,1961,8.29662
blr,1962,8.24251
blr,1963,8.19943
blr,1964,8.18385
blr,1965,8.20522
blr,1966,8.33885
blr,1967,8.50037
blr,1968,8.67853
blr,1969,8.85467
blr,1970,9.01605
blr,1971,9.23678
blr,1972,9.42405
blr,1973,9.60064
blr,1974,9.79147
blr,1975,10.00395
