geo,time,er_gdp_fwtl_m3_kd
uzb,1997,0.48767
uzb,2002,0.60766
uzb,2007,0.91066
uzb,2012,1.31672
uzb,2017,1.54006
vct,1997,50.08266
vct,2002,61.86677
vct,2007,81.90872
vct,2012,89.29426
vct,2017,98.40929
vnm,1987,0.65012
vnm,1992,0.76317
vnm,1997,0.98327
vnm,2002,1.13759
vnm,2007,1.49445
vnm,2012,1.98047
vnm,2017,2.67798
yem,1992,9.12259
yem,1997,10.9327
yem,2002,12.95351
yem,2007,15.25089
yem,2012,15.80389
yem,2017,10.24261
zaf,1992,12.48673
zaf,1997,14.71578
zaf,2002,16.8574
zaf,2007,20.97595
zaf,2012,22.00784
zaf,2017,16.68725
zmb,1992,3.8466
zmb,1997,4.49389
zmb,2002,5.64247
zmb,2007,8.09765
zmb,2012,11.94168
zmb,2017,14.52077
zwe,1987,11.4715
zwe,1992,7.34393
zwe,1997,6.34879
zwe,2002,4.43076
zwe,2007,3.57844
zwe,2012,5.42818
zwe,2017,6.30705
