geo,time,se_prm_gint_fe_zs
cmr,2017,119.29314
cmr,2018,110.47883
cod,1971,96.72935
cod,1972,96.91979
cod,1976,87.16559
cod,1977,84.02585
cod,1978,80.35353
cod,1980,94.99647
cod,1981,95.75368
cod,1982,95.73014
cod,1983,95.87596
cod,1984,96.19384
cod,1988,79.14605
cod,1991,72.07674
cod,1992,84.43791
cod,1993,83.49804
cod,1994,69.31555
cod,1999,57.56528
cod,2002,66.27282
cod,2007,108.77553
cod,2008,121.58826
cod,2009,116.45513
cod,2010,110.31847
cod,2011,119.10896
cod,2012,121.14041
cod,2013,130.50355
cod,2014,130.88296
cod,2015,134.7067
cog,1972,105.88207
cog,1973,96.98231
cog,1974,103.85605
cog,1975,107.98446
cog,1976,106.36633
cog,1977,108.78138
cog,1978,108.61144
cog,1979,102.57272
cog,1980,105.74853
cog,1981,105.77103
cog,1982,106.59108
cog,1983,109.10438
cog,1984,105.48062
cog,1985,102.25519
cog,1986,100.69798
cog,1987,103.26472
cog,1988,95.16019
cog,1989,83.85671
cog,1990,85.25521
cog,1991,85.60451
cog,1992,96.57839
cog,1993,91.03256
cog,1994,90.46906
cog,1996,85.28242
cog,1999,35.94734
cog,2000,72.79781
cog,2001,85.44285
cog,2002,76.34945
cog,2003,67.14507
cog,2004,79.11398
cog,2005,77.86676
cog,2006,85.94307
cog,2007,85.11086
cog,2008,86.60628
cog,2009,97.72151
cog,2010,100.61802
cog,2012,98.19283
col,1970,137.11976
col,1971,145.32405
col,1972,146.59733
col,1973,152.25771
col,1974,153.03909
col,1982,133.87295
col,1983,132.11678
col,1984,127.21499
col,1985,118.9899
col,1986,110.25538
col,1987,125.2596
col,1988,125.77322
col,1989,126.42745
col,1990,139.04808
col,1991,125.8965
col,1992,140.32675
col,1993,144.76355
col,1994,131.26809
col,1995,139.4635
col,1996,145.24492
col,1998,141.19939
col,1999,140.00101
col,2000,141.00662
col,2001,133.77357
col,2002,135.8819
col,2004,131.01257
col,2005,129.60824
col,2006,130.03963
col,2007,127.1059
col,2008,129.27748
col,2009,120.23654
col,2010,113.77342
col,2011,115.31572
col,2012,116.68283
col,2013,118.79628
col,2014,116.11789
col,2015,112.43067
col,2016,111.25395
col,2017,109.03021
col,2018,111.00966
com,1986,79.69477
com,1987,74.7042
com,1992,90.67309
com,1999,79.7871
com,2002,93.31504
com,2003,91.91213
com,2004,85.88335
com,2007,84.09796
com,2008,85.05981
com,2011,133.00619
com,2013,96.37348
com,2014,89.24538
com,2017,86.47811
com,2018,101.96963
cpv,1979,125.28103
cpv,1980,112.52674
cpv,1981,102.03743
cpv,1982,109.15777
cpv,1983,105.27555
cpv,1984,112.33736
cpv,1985,118.88559
cpv,1986,102.86931
cpv,1987,108.73957
cpv,1988,119.44385
cpv,1990,115.30428
cpv,1994,119.0925
cpv,1998,118.89046
cpv,2000,101.21628
cpv,2001,102.99937
cpv,2002,98.43525
cpv,2003,104.02762
cpv,2004,96.84462
cpv,2005,102.48359
cpv,2006,101.00954
cpv,2007,100.41199
cpv,2008,97.33207
cpv,2009,99.48679
cpv,2010,96.20519
cpv,2011,94.11425
cpv,2012,94.11879
cpv,2013,96.0708
cpv,2014,95.15246
cpv,2015,93.77577
cpv,2016,91.41563
cpv,2017,97.29253
cpv,2018,98.32815
cri,1970,107.66857
cri,1971,104.72696
cri,1972,113.96025
cri,1973,121.79429
cri,1974,114.51705
cri,1975,113.43768
cri,1976,120.49088
cri,1977,121.22383
cri,1978,107.803
cri,1979,105.79339
cri,1980,110.05238
cri,1981,109.65552
cri,1982,103.59567
cri,1985,100.38027
cri,1986,104.82321
cri,1987,102.79779
cri,1988,103.27271
cri,1989,99.99726
cri,1991,107.58518
cri,1992,109.44039
cri,1993,105.06386
cri,1994,100.93495
cri,1995,100.70654
cri,1996,102.61697
cri,1998,100.17909
cri,1999,103.49414
cri,2000,102.30965
cri,2001,101.01758
cri,2002,105.0821
cri,2004,108.30193
cri,2005,105.77569
cri,2006,112.25471
cri,2007,107.59232
cri,2008,102.49241
cri,2009,105.93218
cri,2010,106.29225
cri,2011,105.83574
cri,2012,104.0384
cri,2013,102.19668
cri,2014,102.71061
cri,2015,103.64807
cri,2016,103.15902
cri,2017,97.98209
cri,2018,111.06149
cub,1971,113.18706
cub,1972,106.53928
cub,1997,102.80081
cub,1999,92.28442
cub,2000,94.51446
cub,2001,94.70917
cub,2002,97.64852
cub,2003,91.92546
cub,2004,99.39851
cub,2005,97.81073
cub,2006,97.71992
cub,2007,93.81577
cub,2008,94.09367
cub,2009,99.54626
cub,2010,99.56493
cub,2011,95.1326
cub,2012,92.78438
cub,2013,86.86704
cub,2014,89.03337
cub,2015,97.68282
cub,2016,104.41839
cub,2017,102.42275
cub,2018,104.85011
cyp,1971,82.53498
cyp,1972,74.27274
cyp,1973,83.25645
cyp,1974,87.77624
cyp,1975,72.4084
cyp,1976,88.23939
cyp,1977,73.16384
cyp,1978,74.64485
cyp,1979,73.08751
cyp,1980,56.35069
cyp,1981,61.05484
cyp,1982,68.69911
cyp,1983,78.16135
cyp,1984,76.67845
cyp,1985,80.53555
cyp,1986,88.62507
cyp,1987,87.09331
cyp,1988,80.43665
cyp,1989,84.76865
cyp,1990,82.13439
cyp,1991,77.5157
cyp,1992,75.83396
cyp,1993,101.13414
cyp,1994,102.0059
cyp,1995,98.6687
cyp,1996,100.43921
cyp,1997,98.41713
cyp,1999,85.43912
cyp,2000,101.12251
cyp,2001,99.94186
cyp,2002,98.31575
cyp,2003,98.97751
cyp,2004,100.86846
cyp,2005,101.76911
cyp,2006,104.77416
cyp,2007,106.05478
cyp,2008,103.2748
cyp,2009,106.22739
cyp,2010,100.8858
cyp,2011,100.94275
cyp,2012,101.07257
cyp,2013,100.24439
