country,time,cliberties_idea
ind,2011,60.76145
ind,2012,60.12641
ind,2013,59.94196
ind,2014,55.48618
ind,2015,50.87111
ind,2016,50.45415
ind,2017,47.83002
ind,2018,46.91412
ind,2019,43.73619
irl,1975,70.15278
irl,1976,70.45141
irl,1977,70.42274
irl,1978,70.22938
irl,1979,70.45175
irl,1980,70.56918
irl,1981,71.53964
irl,1982,73.95776
irl,1983,74.51632
irl,1984,74.30147
irl,1985,75.00448
irl,1986,75.03401
irl,1987,74.74546
irl,1988,74.74302
irl,1989,75.17557
irl,1990,77.83715
irl,1991,81.17426
irl,1992,80.77871
irl,1993,80.44578
irl,1994,80.54268
irl,1995,81.24942
irl,1996,82.00351
irl,1997,82.35535
irl,1998,82.27071
irl,1999,82.16098
irl,2000,83.9426
irl,2001,83.12186
irl,2002,83.06243
irl,2003,82.51045
irl,2004,83.16062
irl,2005,83.19382
irl,2006,83.15234
irl,2007,83.34801
irl,2008,83.21617
irl,2009,83.8759
irl,2010,83.4207
irl,2011,83.54713
irl,2012,85.69203
irl,2013,83.41827
irl,2014,82.34416
irl,2015,82.99457
irl,2016,82.69736
irl,2017,84.63647
irl,2018,83.58783
irl,2019,83.1964
irn,1975,27.63504
irn,1976,27.33902
irn,1977,26.2955
irn,1978,27.22686
irn,1979,31.36279
irn,1980,24.25876
irn,1981,17.81171
irn,1982,16.40656
irn,1983,17.80484
irn,1984,19.9016
irn,1985,20.2295
irn,1986,21.10109
irn,1987,20.74389
irn,1988,21.23385
irn,1989,24.06876
irn,1990,27.03321
irn,1991,26.94462
irn,1992,27.39635
irn,1993,28.09046
irn,1994,28.58109
irn,1995,28.80045
irn,1996,30.11812
irn,1997,35.2249
irn,1998,38.10981
irn,1999,38.27114
irn,2000,38.62618
irn,2001,38.41807
irn,2002,38.52225
irn,2003,38.64114
irn,2004,38.53736
irn,2005,32.64956
irn,2006,29.34944
irn,2007,29.09434
irn,2008,28.74974
irn,2009,27.56229
irn,2010,26.69751
irn,2011,27.54245
irn,2012,27.09601
irn,2013,30.71034
irn,2014,31.10594
irn,2015,31.16716
irn,2016,30.86208
irn,2017,31.01276
irn,2018,28.75396
irn,2019,28.40065
irq,1975,24.30671
irq,1976,24.4489
irq,1977,24.42343
irq,1978,24.24895
irq,1979,19.56775
irq,1980,15.14043
irq,1981,14.86924
irq,1982,14.56573
irq,1983,14.92877
irq,1984,15.03102
irq,1985,14.73846
irq,1986,15.51822
irq,1987,14.92577
irq,1988,15.00639
irq,1989,14.81324
irq,1990,15.12874
irq,1991,13.51309
irq,1992,13.61119
irq,1993,16.61692
