country,time,popcit_500k_1m
gbr,2005,5487797
gbr,2010,6162253
gbr,2015,6896856
gbr,2020,7675264
gbr,2025,7976337
gbr,2030,7775994
gbr,2035,8024715
geo,1950,611653
geo,1955,658954
geo,1960,717766
geo,1965,802904
geo,1970,897244
geo,1975,992474
geo,1980,0
geo,1985,0
geo,1990,0
geo,1995,0
geo,2000,0
geo,2005,0
geo,2010,0
geo,2015,0
geo,2020,0
geo,2025,0
geo,2030,0
geo,2035,0
gha,1950,0
gha,1955,0
gha,1960,0
gha,1965,0
gha,1970,630670
gha,1975,737787
gha,1980,863134
gha,1985,532485
gha,1990,695568
gha,1995,908599
gha,2000,0
gha,2005,0
gha,2010,531982
gha,2015,715650
gha,2020,1587430
gha,2025,784420
gha,2030,1480359
gha,2035,1197459
gin,1950,0
gin,1955,0
gin,1960,0
gin,1965,0
gin,1970,0
gin,1975,559195
gin,1980,631446
gin,1985,731751
gin,1990,872014
gin,1995,0
gin,2000,0
gin,2005,0
gin,2010,0
gin,2015,0
gin,2020,0
gin,2025,0
gin,2030,0
gin,2035,0
gmb,1950,0
gmb,1955,0
gmb,1960,0
gmb,1965,0
gmb,1970,0
gmb,1975,0
gmb,1980,0
gmb,1985,0
gmb,1990,0
gmb,1995,0
gmb,2000,0
gmb,2005,0
gmb,2010,0
gmb,2015,0
gmb,2020,0
gmb,2025,510303
gmb,2030,602162
gmb,2035,705396
gnb,1950,0
gnb,1955,0
gnb,1960,0
gnb,1965,0
gnb,1970,0
gnb,1975,0
gnb,1980,0
gnb,1985,0
gnb,1990,0
gnb,1995,0
gnb,2000,0
gnb,2005,0
gnb,2010,0
gnb,2015,0
gnb,2020,599714
gnb,2025,709092
gnb,2030,826650
gnb,2035,955533
gnq,1950,0
gnq,1955,0
gnq,1960,0
gnq,1965,0
gnq,1970,0
gnq,1975,0
gnq,1980,0
gnq,1985,0
gnq,1990,0
gnq,1995,0
gnq,2000,0
gnq,2005,0
gnq,2010,0
gnq,2015,0
gnq,2020,0
gnq,2025,512750
gnq,2030,605591
gnq,2035,1210212
grc,1950,0
grc,1955,0
grc,1960,0
grc,1965,0
grc,1970,542409
grc,1975,616669
grc,1980,693663
grc,1985,724136
grc,1990,745906
grc,1995,770808
grc,2000,796973
grc,2005,803241
grc,2010,806139
grc,2015,809043
grc,2020,812166
grc,2025,815472
grc,2030,818064
grc,2035,819556
grd,1950,0
grd,1955,0
grd,1960,0
grd,1965,0
grd,1970,0
grd,1975,0
grd,1980,0
grd,1985,0
grd,1990,0
grd,1995,0
grd,2000,0
grd,2005,0
grd,2010,0
grd,2015,0
grd,2020,0
grd,2025,0
grd,2030,0
grd,2035,0
gtm,1950,0
gtm,1955,0
gtm,1960,604810
gtm,1965,767642
gtm,1970,917137
gtm,1975,0
gtm,1980,0
gtm,1985,0
gtm,1990,0
gtm,1995,0
gtm,2000,0
gtm,2005,0
gtm,2010,0
gtm,2015,0
gtm,2020,0
gtm,2025,0
gtm,2030,0
gtm,2035,0
guy,1950,0
guy,1955,0
guy,1960,0
guy,1965,0
guy,1970,0
guy,1975,0
guy,1980,0
guy,1985,0
guy,1990,0
guy,1995,0
guy,2000,0
guy,2005,0
guy,2010,0
guy,2015,0
guy,2020,0
guy,2025,0
guy,2030,0
guy,2035,0
hkg,1950,0
hkg,1955,0
hkg,1960,0
hkg,1965,0
hkg,1970,0
hkg,1975,0
hkg,1980,0
hkg,1985,0
hkg,1990,0
hkg,1995,0
hkg,2000,0
hkg,2005,0
hkg,2010,0
hkg,2015,0
hkg,2020,0
hkg,2025,0
hkg,2030,0
hkg,2035,0
hnd,1950,0
hnd,1955,0
hnd,1960,0
hnd,1965,0
hnd,1970,0
hnd,1975,0
hnd,1980,0
hnd,1985,0
hnd,1990,572376
hnd,1995,655897
hnd,2000,751634
hnd,2005,1426559
hnd,2010,646106
hnd,2015,767271
hnd,2020,902751
hnd,2025,0
hnd,2030,0
hnd,2035,0
hrv,1950,0
hrv,1955,0
hrv,1960,0
hrv,1965,0
hrv,1970,562234
hrv,1975,606511
hrv,1980,647501
hrv,1985,675851
hrv,1990,702668
hrv,1995,700333
hrv,2000,692836
hrv,2005,690208
hrv,2010,688430
hrv,2015,686652
hrv,2020,684878
